CRN,URL,Course,Title,Instructors,Course Meeting,Credits
30001,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201230&p_crn=30001,ANTH 800,RESEARCH AND THESIS,"Faubion, Jim", TBA TBA,3 TO 9
30208,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201230&p_crn=30208,ARCH 711,SPECIAL PROJECTS,"Wittenberg, Gordon G.", TBA TBA,1 TO 9
30002,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201230&p_crn=30002,BIOC 777,VISITING RESEARCH TRAINEE,, TBA TBA,0
30003,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201230&p_crn=30003,BIOC 800,BCB GRADUATE RESEARCH,, TBA TBA,1 TO 15
30004,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201230&p_crn=30004,BIOE 500,GRADUATE RESEARCH,, TBA TBA,1 TO 15
30198,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201230&p_crn=30198,BIOE 506,GRADUATE INDEPENDENT STUDY,, TBA TBA,.5 TO 3
30005,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201230&p_crn=30005,BIOE 777,VISITING RESEARCH TRAINEE,, TBA TBA,0
30006,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201230&p_crn=30006,BUSI 800,PHD RESEARCH,, TBA TBA,1 TO 12
30015,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201230&p_crn=30015,CAAM 591,INDEPENDENT STUDY,, TBA TBA,1 TO 15
30016,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201230&p_crn=30016,CAAM 777,VISITING RESEARCH TRAINEE,"Cox, Steven J.", TBA TBA,0
30017,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201230&p_crn=30017,CAAM 800,THESIS,, TBA TBA,1 TO 15
30013,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201230&p_crn=30013,CEVE 652,M.S. RESEARCH AND THESIS,, TBA TBA,1 TO 15
30014,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201230&p_crn=30014,CEVE 801,PHD RESEARCH AND THESIS,, TBA TBA,1 TO 15
