CRN,URL,Course,Title,Instructors,Course Meeting,Credits
30817,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202230&p_crn=30817,ANTH 200,INTRO TO STUDY OF LANGUAGE,"Niedzielski, Nancy A.",10:30AM - 12:05PM MTWR FULLY ONLINE,3
30821,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202230&p_crn=30821,ANTH 200,INTRO TO STUDY OF LANGUAGE,"McCleary, Bryce E.",7:00PM - 8:35PM MTWR FULLY ONLINE,3
30906,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202230&p_crn=30906,ANTH 203,INTRO BIOLOGICAL ANTHROPOLOGY,"Morgan, Molly",7:00PM - 9:30PM TR FULLY ONLINE,3
31002,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202230&p_crn=31002,ANTH 364,AFRICAN ARCHAEOLOGY,"Fleisher, Jeffrey B.",8:00AM - 9:05AM MTWRF OFF CAMPUS,1 TO 6
31001,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202230&p_crn=31001,ANTH 370,ARCHAEOLOGICAL LAB ANALYSIS,"Fleisher, Jeffrey B.",9:30AM - 10:35AM MTWRF OFF CAMPUS,3 TO 6
30223,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202230&p_crn=30223,ANTH 800,RESEARCH AND THESIS,"Georges, Eugenia", TBA TBA,3 TO 9
30104,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202230&p_crn=30104,ANTH 800,RESEARCH AND THESIS,"Howe, Cymene", TBA TBA,3 TO 9
30607,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202230&p_crn=30607,ANTH 800,RESEARCH AND THESIS,"Visweswaran, Kamala", TBA TBA,3 TO 9
30224,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202230&p_crn=30224,ANTH 800,RESEARCH AND THESIS,"Boyer, Dominic C.", TBA TBA,3 TO 9
30608,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202230&p_crn=30608,ANTH 800,RESEARCH AND THESIS,"Fleisher, Jeffrey B.", TBA TBA,3 TO 9
30793,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202230&p_crn=30793,ANTH 800,RESEARCH AND THESIS,"Gunel, Gokce", TBA TBA,3 TO 9
30441,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202230&p_crn=30441,APPL 490,UNDERGRAD SUMMER RESEARCH-REU,"Pimpinelli, Alberto F.", TBA TBA,1 TO 6
30052,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202230&p_crn=30052,APPL 800,RESEARCH AND THESIS,"Tkaczyk, Tomasz", TBA TBA,1 TO 15
30053,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202230&p_crn=30053,APPL 800,RESEARCH AND THESIS,"Kemere, Caleb T.", TBA TBA,1 TO 15
30054,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202230&p_crn=30054,APPL 800,RESEARCH AND THESIS,"Nevidomskyy, Andriy", TBA TBA,1 TO 15
30055,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202230&p_crn=30055,APPL 800,RESEARCH AND THESIS,"Raphael, Rob", TBA TBA,1 TO 15
30056,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202230&p_crn=30056,APPL 800,RESEARCH AND THESIS,"Grande-Allen, K. Jane", TBA TBA,1 TO 15
30057,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202230&p_crn=30057,APPL 800,RESEARCH AND THESIS,"Levine, Herbert", TBA TBA,1 TO 15
