CRN,URL,Course,Title,Instructors,Course Meeting,Credits
20001,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200520&p_crn=20001,ACCO 305,INTRODUCTION TO ACCOUNTING,"Castor Brooks, Gerri",7:15PM - 8:30PM MW BUS 212,3
22357,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200520&p_crn=22357,ACCO 305,INTRODUCTION TO ACCOUNTING,"Castor Brooks, Gerri",7:15PM - 8:30PM TR BUS 212,3
20667,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200520&p_crn=20667,ACCO 498,INDEPENDENT STUDY,,,3
23005,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200520&p_crn=23005,AFSC 102,FOUNDATION OF THE USAF II,,,2
20002,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200520&p_crn=20002,ANTH 200,INTRO TO STUDY OF LANGUAGE,"Bowern, Claire L.",10:00AM - 10:50AM MWF SH 309,3
23066,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200520&p_crn=23066,ANTH 200,INTRO TO STUDY OF LANGUAGE,"Koops, Christian Koops",9:25AM - 10:40AM TR HUM 328,3
22582,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200520&p_crn=22582,ANTH 205,INTRO TO ARCHAEOLOGY,"McIntosh, Roderick J.",9:25AM - 10:40AM TR BL 131,3
22583,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200520&p_crn=22583,ANTH 290,HISTORY AND ETHNOGRAPHY,"Riedel, Brian S.",9:25AM - 10:40AM TR SH 307,3
21792,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200520&p_crn=21792,ANTH 300,LINGUISTIC ANALYSIS,"Englebretson, Robert E.",11:00AM - 11:50AM MWF RH 123,3
22584,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200520&p_crn=22584,ANTH 323,PHONOLOGY,"Crosswhite, Katherine M.",10:50AM - 12:05PM TR HE 126,3
