CRN,URL,Course,Title,Instructors,Course Meeting,Credits
11695,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200710&p_crn=11695,ACCO 305,INTRODUCTION TO ACCOUNTING,"Zeff, Stephen A.",7:00PM - 8:15PM MW MCN 314,3
11696,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200710&p_crn=11696,ACCO 305,INTRODUCTION TO ACCOUNTING,"Zeff, Stephen A.",8:00AM - 9:15AM TR MCN 214,3
11919,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200710&p_crn=11919,ACCO 406,COST ACCOUNTING,"Roman, Francisco J.",9:25AM - 10:40AM MW MCN 316,3
12086,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200710&p_crn=12086,AFSC 101,FOUNDATION OF THE USAF I,,,2
12087,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200710&p_crn=12087,AFSC 201,EVOLUTION OF AIR POWER,,,2
12088,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200710&p_crn=12088,AFSC 301,AIR FORCE LEADERSHIP STUDY I,,,3
12089,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200710&p_crn=12089,AFSC 401,NATIONAL SECURITY AFFAIRS I,,,3
10838,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200710&p_crn=10838,ANTH 200,INTRO TO STUDY OF LANGUAGE,"Bowern, Claire L.; Hartenstein, Anne Marie; Schmidt, Christopher K.; Pace, Cassandra J.; Smitherman, Thomas H.",10:00AM - 10:50AM MWF HRZ AMP,3
10840,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200710&p_crn=10840,ANTH 203,INTRO TO PHYSICAL ANTHROPOLOGY,"McIntosh, Susan K.",2:30PM - 3:50PM TR SEW 303,3
10842,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200710&p_crn=10842,ANTH 205,INTRO TO ARCHAEOLOGY,"Richard, Francois G.",9:25AM - 10:40AM TR HRG 100,3
11743,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200710&p_crn=11743,ANTH 280,ANTHROPOLOGY:THE MIDDLE EAST,"Naficy, Nahal",1:00PM - 1:50PM MWF SEW 460,3
10895,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200710&p_crn=10895,ANTH 300,LINGUISTIC ANALYSIS,"Englebretson, Robert E.",11:00AM - 11:50AM MWF RZR 123,3
10843,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200710&p_crn=10843,ANTH 301,PHONETICS,"Crosswhite, Katherine M.",10:50AM - 12:05PM TR SEW 101,3
11866,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200710&p_crn=11866,ANTH 302,ANTHROPOLOGICAL THEORY,,,3
10896,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200710&p_crn=10896,ANTH 305,HISTORICAL LINGUISTICS,"Bowern, Claire L.",9:00AM - 9:50AM MWF HUM 328,3
10845,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200710&p_crn=10845,ANTH 315,ANTH: INFORMATION & NETWORKS,"Kelty, Christopher M.",1:00PM - 2:20PM TR HRZ 122,3
11859,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200710&p_crn=11859,ANTH 329,"BODIES, SENSUALITIES & ART","Elhaik, Tarik",2:00PM - 5:00PM F SEW 562,3
10847,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200710&p_crn=10847,ANTH 345,ARCHAEOLOGY IN SOCIAL CONTEXT,"McIntosh, Susan K.",10:50AM - 12:05PM TR SEW 462,3
10897,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200710&p_crn=10897,ANTH 353,CULTURES OF INDIA,"Tyler, Stephen A.",9:25AM - 10:40AM TR SEW 303,3
