CRN,URL,Course,Title,Instructors,Course Meeting,Credits
10959,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201610&p_crn=10959,AFSC 101,FOUNDATION OF THE USAF I,,"2:00PM - 2:50PM W TBA TBA
4:00PM - 5:59PM W TBA TBA",2
10960,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201610&p_crn=10960,AFSC 101,FOUNDATION OF THE USAF I,,"8:00AM - 8:50AM M TBA TBA
4:00PM - 5:59PM W TBA TBA",2
10961,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201610&p_crn=10961,AFSC 201,EVOLUTION OF AIR POWER I,,"3:00PM - 3:50PM W TBA TBA
4:00PM - 5:59PM W TBA TBA",2
10962,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201610&p_crn=10962,AFSC 201,EVOLUTION OF AIR POWER I,,"9:00AM - 9:50AM M TBA TBA
4:00PM - 5:59PM W TBA TBA",2
10963,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201610&p_crn=10963,AFSC 301,AIR FORCE LEADERSHIP STUDY I,,"11:30AM - 2:29PM T TBA TBA
4:00PM - 5:59PM W TBA TBA",3
10964,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201610&p_crn=10964,AFSC 401,NATIONAL SECURITY AFFAIRS I,,"10:00AM - 12:59PM W TBA TBA
4:00PM - 5:59PM W TBA TBA",3
10231,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201610&p_crn=10231,ANTH 200,INTRO TO STUDY OF LANGUAGE,"Shibatani, Matt",9:25AM - 10:40AM TR HUM 117,3
12666,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201610&p_crn=12666,ANTH 200,INTRO TO STUDY OF LANGUAGE,"Oko, Christina W.",10:00AM - 10:50AM MWF DCC 113,3
14360,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201610&p_crn=14360,ANTH 200,INTRO TO STUDY OF LANGUAGE,"Niedzielski, Nancy A.",1:00PM - 2:15PM TR SEW 307,3
11092,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201610&p_crn=11092,ANTH 203,INTRO TO PHYSICAL ANTHROPOLOGY,"McIntosh, Susan K.",10:50AM - 12:05PM TR SEW 305,3
14398,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201610&p_crn=14398,ANTH 205,INTRO TO ARCHAEOLOGY,"Fleisher, Jeffrey B.",9:25AM - 10:40AM TR DCC 113,3
10240,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201610&p_crn=10240,ANTH 300,LINGUISTIC ANALYSIS,"Englebretson, Robert E.",11:00AM - 11:50AM MWF BKH 102,3
10233,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201610&p_crn=10233,ANTH 301,PHONETICS,"Niedzielski, Nancy A.",9:25AM - 10:40AM TR HRG 125,3
14392,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201610&p_crn=14392,ANTH 302,ANTHROPOLOGICAL THEORY,"Lowrie, Ian",10:50AM - 12:05PM TR AEL B209,3
11737,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201610&p_crn=11737,ANTH 324,DOCUMENTARY PRODUCTION,"Stringer, Tish M.; Huberman, Brian M.",2:30PM - 5:29PM R MED 100,3
13726,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201610&p_crn=13726,ANTH 341,MUSEUMS AND HERITAGE,"McIntosh, Susan K.; Fuqua, Kariann",2:30PM - 3:45PM TR RZR 204,3
13727,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201610&p_crn=13727,ANTH 342,ETHNOGRAPHIES OF CARE,"Wool, Zoe H.",3:00PM - 5:59PM W SEW 560,3
13529,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201610&p_crn=13529,ANTH 349,THE ANTHROPOLOGY OF ETHICS,"Faubion, Jim",1:00PM - 2:15PM TR SEW 303,3
14152,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201610&p_crn=14152,ANTH 365,POLITICS OF REPRESENTATION,"Sharim, Yehuda",4:00PM - 5:15PM TR RZR 305,3
11616,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201610&p_crn=11616,ANTH 381,MEDICAL ANTHROPOLOGY,"Mitchell, Beverly M.",1:00PM - 2:15PM TR SEW 562,3
13722,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201610&p_crn=13722,ANTH 384,PALEO-TECHNOLOGY,"Costa, August G.",1:00PM - 3:59PM W SEW 103,3
13724,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201610&p_crn=13724,ANTH 389,ARCHAEOLOGY OF FOOD,"Morgan, Molly",12:00PM - 12:50PM MWF SEW 305,3
10897,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201610&p_crn=10897,ANTH 404,INDEPENDENT STUDY,"Faubion, Jim", TBA TBA,1 TO 9
10235,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201610&p_crn=10235,ANTH 404,INDEPENDENT STUDY,"Georges, Eugenia", TBA TBA,1 TO 9
13857,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201610&p_crn=13857,ANTH 404,INDEPENDENT STUDY,"Howe, Cymene", TBA TBA,1 TO 9
13020,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201610&p_crn=13020,ANTH 404,INDEPENDENT STUDY,"McIntosh, Susan K.", TBA TBA,1 TO 9
13858,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201610&p_crn=13858,ANTH 404,INDEPENDENT STUDY,"Wool, Zoe H.", TBA TBA,1 TO 9
10899,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201610&p_crn=10899,ANTH 404,INDEPENDENT STUDY,"Boyer, Dominic C.", TBA TBA,1 TO 9
10900,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201610&p_crn=10900,ANTH 404,INDEPENDENT STUDY,"Mitchell, Beverly M.", TBA TBA,1 TO 9
10598,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201610&p_crn=10598,ANTH 404,INDEPENDENT STUDY,"Fleisher, Jeffrey B.", TBA TBA,1 TO 9
13532,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201610&p_crn=13532,ANTH 417,"ONTOLOGIES, VITALITIES, THINGS","Howe, Cymene",2:00PM - 4:59PM R HNZ 201,3
13031,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201610&p_crn=13031,ANTH 443,RACE ETHNICITY AND HEALTH,"Mitchell, Beverly M.",2:30PM - 5:29PM T SEW 562,3
10889,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201610&p_crn=10889,ANTH 490,DIRECTED HONORS RESEARCH,"Faubion, Jim", TBA TBA,1 TO 3
10236,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201610&p_crn=10236,ANTH 490,DIRECTED HONORS RESEARCH,"Georges, Eugenia", TBA TBA,1 TO 3
13859,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201610&p_crn=13859,ANTH 490,DIRECTED HONORS RESEARCH,"Howe, Cymene", TBA TBA,1 TO 3
10891,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201610&p_crn=10891,ANTH 490,DIRECTED HONORS RESEARCH,"McIntosh, Susan K.", TBA TBA,1 TO 3
13860,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201610&p_crn=13860,ANTH 490,DIRECTED HONORS RESEARCH,"Wool, Zoe H.", TBA TBA,1 TO 3
10892,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201610&p_crn=10892,ANTH 490,DIRECTED HONORS RESEARCH,"Boyer, Dominic C.", TBA TBA,1 TO 3
13861,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201610&p_crn=13861,ANTH 490,DIRECTED HONORS RESEARCH,"Mitchell, Beverly M.", TBA TBA,1 TO 3
10893,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201610&p_crn=10893,ANTH 490,DIRECTED HONORS RESEARCH,"Fleisher, Jeffrey B.", TBA TBA,1 TO 3
10976,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201610&p_crn=10976,ANTH 495,ANTHROPOLOGY CAPSTONE,"Faubion, Jim", TBA TBA,3
10977,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201610&p_crn=10977,ANTH 495,ANTHROPOLOGY CAPSTONE,"Georges, Eugenia", TBA TBA,3
12265,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201610&p_crn=12265,ANTH 495,ANTHROPOLOGY CAPSTONE,"Howe, Cymene", TBA TBA,3
10979,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201610&p_crn=10979,ANTH 495,ANTHROPOLOGY CAPSTONE,"McIntosh, Susan K.", TBA TBA,3
13862,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201610&p_crn=13862,ANTH 495,ANTHROPOLOGY CAPSTONE,"Wool, Zoe H.", TBA TBA,3
