CRN,URL,Course,Title,Instructors,Course Meeting,Credits
30128,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201630&p_crn=30128,ANTH 201,INTRO TO SOCIAL/CULTURAL ANTH,"Mitchell, Beverly M.",1:00PM - 3:20PM TWR SEW 562,3
30257,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201630&p_crn=30257,ANTH 364,AFRICAN ARCHAEOLOGY,"Fleisher, Jeffrey B.", TBA TBA,3
30259,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201630&p_crn=30259,ANTH 364,AFRICAN ARCHAEOLOGY,"Fleisher, Jeffrey B.", TBA TBA,1 TO 3
30129,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201630&p_crn=30129,ANTH 386,"MEDICINE, FOOD, AND HEALTH","Mitchell, Beverly M.",5:30PM - 7:50PM TWR SEW 562,3
30258,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201630&p_crn=30258,ANTH 564,AFRICAN ARCHAEOLOGY,"Fleisher, Jeffrey B.", TBA TBA,3
30260,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201630&p_crn=30260,ANTH 564,AFRICAN ARCHAEOLOGY,"Fleisher, Jeffrey B.", TBA TBA,1 TO 3
30606,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201630&p_crn=30606,ANTH 800,RESEARCH AND THESIS,"Faubion, Jim", TBA TBA,3 TO 9
30607,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201630&p_crn=30607,ANTH 800,RESEARCH AND THESIS,"Georges, Eugenia", TBA TBA,3 TO 9
30318,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201630&p_crn=30318,ANTH 800,RESEARCH AND THESIS,"Howe, Cymene", TBA TBA,3 TO 9
30608,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201630&p_crn=30608,ANTH 800,RESEARCH AND THESIS,"Boyer, Dominic C.", TBA TBA,3 TO 9
