CRN,URL,Course,Title,Instructors,Course Meeting,Credits
30061,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201130&p_crn=30061,ANTH 201,INTRO TO SOCIAL/CULTURAL ANTH,"Mitchell, Beverly M.",11:00AM - 2:05PM MTWRF SEW 560,3
30173,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201130&p_crn=30173,ANTH 201,INTRO TO SOCIAL/CULTURAL ANTH,"Ranova, Elitza S.",4:15PM - 7:30PM TWR SEW 560,3
30255,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201130&p_crn=30255,ANTH 205,INTRO TO ARCHAEOLOGY,"Clark, Brian T.",12:00PM - 2:40PM MWF SEW 560,3
30175,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201130&p_crn=30175,ANTH 290,HIST/ETHNOGRAPHY (THE MORMONS),"Adair-Kriz, Michael D.",10:00AM - 12:15PM TWR TBA TBA,3
30226,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201130&p_crn=30226,ANTH 311,MASCULINITIES,"Bendixsen, Casper",9:00AM - 1:00PM MTWR RZR 310,3
30176,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201130&p_crn=30176,ANTH 329,"BODIES, SENSUALITIES, & ART","Dib, Lina",1:00PM - 4:00PM MTWRF RZR 302,3
30177,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201130&p_crn=30177,ANTH 338,READING POPULAR CULTURE,"Ranova, Elitza S.",4:30PM - 7:35PM MTWRF SEW 560,3
30178,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201130&p_crn=30178,ANTH 361,LATIN AMERICAN TOPICS,"Adair-Kriz, Michael D.", TBA TBA,3
30252,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201130&p_crn=30252,ANTH 364,AFRICAN ARCHAEOLOGY,"Fleisher, Jeffrey B.", TBA TBA,3
30253,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201130&p_crn=30253,ANTH 370,ARCHAEOLOGICAL LABORATORY,"Fleisher, Jeffrey B.", TBA TBA,3 TO 6
