CRN,URL,Course,Title,Instructors,Course Meeting,Credits
30034,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30034,ANTH 313,LANGUAGE AND CULTURE,"Tyler, Stephen A.",2:00PM - 4:10PM MTWR HUM 120,3
30072,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30072,ANTH 361,LATIN AMERICAN TOPICS,"Rivas Gamboa, Angela",10:00AM - 12:30PM TWR HE 128,3
30116,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30116,ANTH 364,HISTORICAL ARCHAEOLOGY,"Thiaw, Ibrahima",7:30AM - 12:00PM MTWRF TBA TBA,3
30117,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30117,ANTH 370,ARCHAEOLOGICAL LABORATORY,"Thiaw, Ibrahima","9:00AM - 12:00PM S TBA TBA
2:30PM - 5:30PM MTWRF TBA TBA",3 TO 6
30076,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30076,ANTH 800,RESEARCH AND THESIS,,,3 TO 9
30083,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30083,ARCH 700,PRACTICUM,,,3
30075,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30075,ARCH 702,PRE-THESIS PREPARATION,,,3
30036,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30036,ARTV 432,FILM GENRE: THE WESERN,"Huberman, Brian M.",7:00PM - 10:00PM TR MC CNTR,3
30035,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30035,ASTR 201,"STARS, GALAXIES & THE UNIVERSE","Huerta, Marcos",2:00PM - 4:00PM TWR HE 224,3
30137,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30137,BIOE 405,IND RESEARCH/INTERNSHIP,,,3
30121,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30121,BIOE 500,GRADUATE RESEARCH,,,1 TO 15
30133,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30133,BIOS 403,UNDERGRADUATE HONORS RESEARCH,,,5
30138,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30138,BIOS 405,IND RESEARCH/INTERNSHIP,,,3
30100,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30100,BIOS 800,GRADUATE RESEARCH,,,1 TO 15
30140,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30140,BIOS 800,GRADUATE RESEARCH-AGEP,"Bartel, Bonnie", TBA TBA,1 TO 15
30105,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30105,CAAM 491,INDEPENDENT STUDY,"Tapia, Richard A.", TBA TBA,1 TO 6
30107,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30107,CAAM 591,INDEPENDENT STUDY,,,1 TO 15
30106,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30106,CAAM 800,THESIS,,,1 TO 15
30093,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30093,CENG 500,UNDERGRADUATE RESEARCH,,,1 TO 6
30094,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30094,CENG 600,MASTER CHEM ENGINEER RESEARCH,,,1 TO 12
30095,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30095,CENG 700,M.S. RESEARCH AND THESIS,,,1 TO 15
30096,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30096,CENG 800,GRADUATE RESEARCH,,,1 TO 15
30154,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30154,CEVE 499,SPECIAL PROBLEMS,,,0 TO 15
30101,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30101,CEVE 652,M.S. RESEARCH AND THESIS,,,1 TO 15
30102,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30102,CEVE 801,PHD RESEARCH AND THESIS,,,1 TO 15
30120,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30120,CHEM 800,GRADUATE RESEARCH,,,12 TO 15
30135,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30135,CHEM 801,REU RESEARCH IN CHEMISTRY,,,1 TO 3
30085,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30085,COMP 490,COMP SCIENCE PROJECTS,,,3 TO 4
30086,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30086,COMP 590,COMPUTER SCIENCE PROJECTS,,,1 TO 4
30087,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30087,COMP 690,RESEARCH AND THESIS,,,3 TO 12
30088,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30088,COMP 800,GRADUATE RESEARCH,,,1 TO 15
30002,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30002,ECON 211,PRINCIPLES OF ECONOMICS I,"Leroux, Justin T.",10:00AM - 1:00PM MTWRF RH 106,3
30003,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30003,ECON 211,PRINCIPLES OF ECONOMICS I,"Nal, Osman",10:00AM - 12:00PM TWR HUM 120,3
30005,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30005,ECON 375,MACROECONOMIC THEORY,"Dacus, Chad L.",11:00AM - 2:00PM MTWRF BB 116,3
30037,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30037,ECON 448,CORPORATE FINANCE,"Wilbratte, Barry J.",9:30AM - 12:00PM MTWRF HUM 227,3
30077,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30077,ECON 800,GRADUATE RESEARCH,,,1 TO 12
30038,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30038,EDUC 440,SUPRV TEACH:SUMMER SCHOOL,"Heckelman, Lissa",7:30AM - 3:30PM MTWRF TBA TBA,3
30124,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30124,ELEC 490,ELEC ENGINEERING PROJECTS,,,1 TO 6
30125,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30125,ELEC 590,ELECTRICAL PROJECTS,,,1 TO 6
30126,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30126,ELEC 599,1ST YEAR GRAD STUDENTS PROJECT,,,6
30119,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30119,ELEC 800,RESEARCH AND THESIS,,,1 TO 15
30145,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30145,ENGL 307,MED/TECH COMMUNICATION,,,3
30011,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30011,ENGL 363,AMERICAN FICTION 1950-PRESENT,"Weaver, Gina M.",10:00AM - 1:00PM MTWRF RH 204,3
30063,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30063,ENGL 397,SCIENCE AND LITERATURE,"Zimmer, Mary E.",9:00AM - 12:00PM WF HE 126,3
30129,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30129,ENGL 703,RESEARCH LEADING TO CANDIDACY,,,1 TO 9
30128,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30128,ENGL 800,PHD RESEARCH AND THESIS,,,1 TO 9
30097,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30097,ESCI 501,FALL SPECIAL STUDIES GRAD STUD,,,1 TO 15
30098,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30098,ESCI 800,THESIS RESEARCH,,,1 TO 15
30084,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30084,FREN 700,SUMMER GRADUATE RESEARCH,,,1 TO 12
30131,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30131,HEAL 498,SPECIAL TOPICS,"Iammarino, Nick", TBA TBA,3
30013,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30013,HIST 117,"THE UNITED STATES,1776-1877","Foster, Thomas A.",9:15AM - 12:15PM MTWRF RH 205,3
30112,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30112,HIST 800,PH.D. RESEARCH,,,9 TO 12
30042,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30042,HUMA 201,PUBLIC SPEAKING,"Grace, Jeremy M.",9:00AM - 11:30AM MTWR HUM 226,3
30017,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30017,HUMA 308,BUS&PROFESSIONAL SPEAKING,"Grace, Jeremy M.",9:00AM - 12:00PM MTWRF HUM 119,3
30044,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30044,KINE 100,WRITE FOR PROFESSIONAL COMMUN,"Eliot, John F.", TBA TBA,3
30045,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30045,KINE 120,FOUNDATIONS OF KINESIOLOGY,"Etnyre, Bruce R.",1:00PM - 3:30PM MTWR HUM 226,3
30046,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200530&p_crn=30046,KINE 205,SOCIOLOGY OF SPORT,,,3
