CRN,URL,Course,Title,Instructors,Course Meeting,Credits
11695,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200810&p_crn=11695,ACCO 305,FINANCIAL ACCOUNTING,"Zeff, Stephen A.",7:00PM - 8:15PM MW MCN 312,3
11696,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200810&p_crn=11696,ACCO 305,FINANCIAL ACCOUNTING,"Zeff, Stephen A.",8:00AM - 9:15AM TR MCN 312,3
12086,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200810&p_crn=12086,AFSC 101,FOUNDATION OF THE USAF I,,"11:00AM - 12:00PM W TBA TBA
3:00PM - 5:00PM W TBA TBA",2
12967,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200810&p_crn=12967,AFSC 101,FOUNDATION OF THE USAF I,,"1:00PM - 2:00PM T TBA TBA
3:00PM - 5:00PM W TBA TBA",2
12968,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200810&p_crn=12968,AFSC 101,FOUNDATION OF THE USAF I,,"1:00PM - 2:00PM W TBA TBA
3:00PM - 5:00PM W TBA TBA",2
12087,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200810&p_crn=12087,AFSC 201,EVOLUTION OF AIR POWER,,"11:00AM - 12:00PM M TBA TBA
3:00PM - 5:00PM W TBA TBA",2
12969,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200810&p_crn=12969,AFSC 201,EVOLUTION OF AIR POWER,,"1:00PM - 2:00PM R TBA TBA
3:00PM - 5:00PM W TBA TBA",2
12088,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200810&p_crn=12088,AFSC 301,AIR FORCE LEADERSHIP STUDY I,,"12:00PM - 3:00PM M TBA TBA
3:00PM - 5:00PM W TBA TBA",3
12970,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200810&p_crn=12970,AFSC 301,AIR FORCE LEADERSHIP STUDY I,,"10:00AM - 1:00PM T TBA TBA
3:00PM - 5:00PM W TBA TBA",3
12089,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200810&p_crn=12089,AFSC 401,NATIONAL SECURITY AFFAIRS I,,"12:00PM - 3:00PM W TBA TBA
3:01PM - 5:00PM W TBA TBA",3
10838,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200810&p_crn=10838,ANTH 200,INTRO TO STUDY OF LANGUAGE,"Stanford, James N.",10:00AM - 10:50AM MWF HRZ AMP,3
12711,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200810&p_crn=12711,ANTH 201,SOCIAL/CULTURAL ANTHROPOLOGY,"Vann, Elizabeth F.",1:00PM - 2:20PM TR HRG 100,3
10840,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200810&p_crn=10840,ANTH 203,INTRO TO PHYSICAL ANTHROPOLOGY,"McIntosh, Susan K.",2:30PM - 3:50PM TR SEW 303,3
10842,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200810&p_crn=10842,ANTH 205,INTRO TO ARCHAEOLOGY,"Fleisher, Jeffrey B.",9:25AM - 10:40AM TR SEW 305,3
12714,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200810&p_crn=12714,ANTH 235,NANOTECH: CONTENT AND CONTEXT,"Kulinowski, Kristen M.; Mody, Cyrus",9:25AM - 10:40AM TR SST 106,3
10895,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200810&p_crn=10895,ANTH 300,LINGUISTIC ANALYSIS,"Englebretson, Robert E.",11:00AM - 11:50AM MWF RZR 123,3
10843,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200810&p_crn=10843,ANTH 301,PHONETICS,"Niedzielski, Nancy A.",10:50AM - 12:05PM TR RZR 106,3
11866,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200810&p_crn=11866,ANTH 302,ANTHROPOLOGICAL THEORY,"Ninetto, Amy",2:30PM - 3:50PM TR HRZ 118,3
