CRN,URL,Course,Title,Instructors,Course Meeting,Credits
13299,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202210&p_crn=13299,AAAS 200,INTRO TO AAAS,"Byrd, Alexander X.","9:00AM - 9:50AM MW HUM 117
9:00AM - 9:50AM F TBA TBA",3
13645,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202210&p_crn=13645,AAAS 600,AF & AFAM STUDIES COLLOQUIUM,"Pinn, Anthony B.", FULLY ONLINE,0
10335,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202210&p_crn=10335,AFSC 101,FOUNDATION OF THE USAF I,,"12:00PM - 12:50PM W OFF CAMPUS
2:30PM - 4:30PM W OFF CAMPUS",2
11256,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202210&p_crn=11256,AFSC 101,FOUNDATION OF THE USAF I,,"8:00AM - 9:00AM T OFF CAMPUS
2:30PM - 4:30PM W OFF CAMPUS",2
10336,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202210&p_crn=10336,AFSC 201,EVOLUTION OF AIR POWER I,,"1:00PM - 1:50PM W OFF CAMPUS
2:30PM - 4:30PM W OFF CAMPUS",2
10337,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202210&p_crn=10337,AFSC 201,EVOLUTION OF AIR POWER I,,"9:00AM - 9:50AM T OFF CAMPUS
2:30PM - 4:30PM W OFF CAMPUS",2
10338,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202210&p_crn=10338,AFSC 301,AIR FORCE LEADERSHIP STUDY I,,"8:00AM - 11:00AM W OFF CAMPUS
2:30PM - 4:30PM W OFF CAMPUS",3
10339,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202210&p_crn=10339,AFSC 401,NATIONAL SECURITY AFFAIRS I,,"10:00AM - 1:00PM W OFF CAMPUS
2:30PM - 4:30PM W OFF CAMPUS",3
13763,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202210&p_crn=13763,ANTH 200,INTRO TO STUDY OF LANGUAGE,"Niedzielski, Nancy A.",9:00AM - 9:50AM MWF HRG 125,3
13765,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202210&p_crn=13765,ANTH 200,INTRO TO STUDY OF LANGUAGE,"Manker, Jonathan",9:25AM - 10:40AM TR HRG 100,3
12779,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202210&p_crn=12779,ANTH 203,INTRO BIOLOGICAL ANTHROPOLOGY,"Dominguez Rodrigo, Manuel",10:50AM - 12:05PM TR SEW 305,3
10804,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202210&p_crn=10804,ANTH 205,INTRO TO ARCHAEOLOGY,"Fleisher, Jeffrey B.",9:25AM - 10:40AM TR HRG 129,3
14237,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202210&p_crn=14237,ANTH 315,ZOOARCHAEOLOGY,"Prendergast, Mary E.",1:00PM - 3:30PM M SEW 103,3
14633,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202210&p_crn=14633,ANTH 316,BLACK DECOLONIAL FEMINISMS,"Estrella, Amarilys",10:50AM - 12:05PM TR SEW 562,3
14743,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202210&p_crn=14743,ANTH 321,SOCIAL LIFE OF DNA,"Massie, Victoria M.",4:25PM - 5:40PM MW SEW 303,3
10462,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202210&p_crn=10462,ANTH 324,DOCUMENTARY PRODUCTION,"Huberman, Brian M.",2:30PM - 5:29PM R SEW 301,3
14740,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202210&p_crn=14740,ANTH 326,"LAW, POWER AND CULTURE","Fietz, Helena",4:00PM - 6:30PM T KRF 105,3
14575,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202210&p_crn=14575,ANTH 340,NEOLIBERALISM & GLOBALIZATION,"Boyer, Dominic C.",1:00PM - 3:30PM R DCC 113,3
12500,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202210&p_crn=12500,ANTH 344,CITY/CULTURE,"Gunel, Gokce",2:30PM - 5:00PM T RZR 119,3
14739,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202210&p_crn=14739,ANTH 354,DISABILITY AND GENDERED BODIES,"Fietz, Helena",10:00AM - 10:50AM MWF HUM 327,3
13646,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202210&p_crn=13646,ANTH 355,"SPACE, PLACE, LANDSCAPE","Morgan, Molly",11:00AM - 11:50AM MWF SEW 307,3
12784,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202210&p_crn=12784,ANTH 394,THE ARCHAEOLOGY OF SLAVERY,"Morgan, Molly",2:00PM - 3:15PM WF SEW 303,3
