CRN,URL,Course,Title,Instructors,Course Meeting,Credits
30034,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30034,ANTH 313,LANGUAGE AND CULTURE,"Tyler, Stephen A.",1:00PM - 3:00PM MTWR HRZ 120,3
30188,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30188,ANTH 326,THE ANTHROPOLOGY OF LAW,"Hamilton, Jennifer A.","9:00AM - 12:15PM MW RZR 121
9:00AM - 1:00PM TR RZR 121",3
30187,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30187,ANTH 338,READING POPULAR CULTURE,"Ranova, Elitza S.",9:30AM - 12:00PM MR SEW 460,3
30247,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30247,ANTH 364,HISTORICAL ARCHAEOLOGY,"McIntosh, Susan K.", TBA TBA,3
30248,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30248,ANTH 370,ARCHAEOLOGICAL LABORATORY,"McIntosh, Susan K.", TBA TBA,3 TO 6
30215,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30215,ANTH 800,RESEARCH AND THESIS,"Faubion, Jim", TBA TBA,3 TO 9
30220,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30220,ARCH 700,PRACTICUM,"El-Dahdah, Fares", TBA TBA,3
30192,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30192,ARTV 432,FILM GENRE: THE WESTERN,"Huberman, Brian M.",7:00PM - 10:00PM TR MED 100,3
30189,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30189,ASIA 332,FILM AND CHINESE LITERATURE,"Qian, Nanxiu",6:00PM - 9:05PM MTWRF RZR 106,3
30193,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30193,BIOE 301,BIOENGINEERING & WORLD HEALTH,"Richards-Kortum, Rebecca R.","10:45AM - 12:00PM TR MLC 101
12:45PM - 2:00PM MF MLC 101",3
30190,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30190,BIOE 342,LAB MODULE IN TISSUE CULTURE,"Saterbak, Ann","9:00AM - 12:00PM TWF TBA TBA
12:30PM - 4:00PM TWF TBA TBA
9:00AM - 12:00PM MTWF TBA TBA
12:30PM - 4:00PM MTWF TBA TBA
9:00AM - 12:00PM T TBA TBA
12:30PM - 4:00PM T TBA TBA",1
30234,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30234,BIOE 400,UNDERGRADUATE RESEARCH,"Raphael, Rob", TBA TBA,2 TO 3
30200,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30200,BIOE 405,IND RESEARCH/INTERN PROGRAM,"West, Jennifer L.", TBA TBA,0
30197,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30197,BIOE 410,CLINICAL MEDICAL INTERNSHIP,,,3
30198,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30198,BIOE 415,CLINICAL RESEARCH INTERNSHIP,"Richards-Kortum, Rebecca R.", TBA TBA,3
30213,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30213,BIOE 500,GRADUATE RESEARCH,,,1 TO 15
30245,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30245,BIOE 777,VISITING RESEARCH TRAINEE,,,0
30249,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30249,BIOS 401,UNDERGRADUATE HONORS RESEARCH,,,5
30138,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30138,BIOS 405,IND RESEARCH/INTERNSHIP,,,0
30233,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30233,BIOS 777,VISITING RESEARCH TRAINEE-ECOL,"Siemann, Evan H.", TBA TBA,0
30240,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30240,BIOS 777,VISITING RESEARCH TRAINEE-BIOC,,,0
30219,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30219,BIOS 800,GRADUATE RESEARCH,,,1 TO 15
30241,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30241,BIOS 800,GRADUATE RESEARCH,"Bartel, Bonnie", TBA TBA,1 TO 15
30216,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30216,BIOS 801,EEB GRADUATE RESEARCH,,,1 TO 15
30144,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30144,CAAM 491,INDEPENDENT STUDY,"Tapia, Richard A.", TBA TBA,1 TO 6
30079,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30079,CAAM 591,INDEPENDENT STUDY,,,1 TO 15
30080,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30080,CAAM 800,THESIS,,,1 TO 15
30107,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30107,CEVE 499,SPECIAL PROBLEMS,"Nagarajaiah, Satish", TBA TBA,1
30108,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30108,CEVE 652,M.S. RESEARCH AND THESIS,"Alvarez, Pedro J.", TBA TBA,1 TO 15
30109,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30109,CEVE 801,PHD RESEARCH AND THESIS,"Alvarez, Pedro J.", TBA TBA,1 TO 15
30081,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30081,CHBE 500,UNDERGRADUATE RESEARCH,,,1 TO 6
30082,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30082,CHBE 600,MASTER CHEM ENGINEER RESEARCH,,,1 TO 12
30083,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30083,CHBE 700,M.S. RESEARCH AND THESIS,"Zygourakis, Kyriacos", TBA TBA,1 TO 15
30084,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30084,CHBE 800,GRADUATE RESEARCH,"Zygourakis, Kyriacos", TBA TBA,1 TO 15
30131,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30131,CHEM 491,RESEARCH FOR UNDERGRADUATES,, TBA TBA,1 TO 5
30155,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30155,CHEM 777,VISITING RESEARCH TRAINEE,, TBA TBA,0
30085,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30085,CHEM 800,GRADUATE RESEARCH,,,1 TO 15
30136,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30136,CHEM 801,REU RESEARCH IN CHEMISTRY,"Weisman, Bruce; Kittrell, Carter; Johnson, Bruce; Link, Stephan", TBA TBA,1 TO 3
30207,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30207,CHIN 332,FILM & CHINESE LITERATURE,"Qian, Nanxiu",6:00PM - 9:05PM MTWRF RZR 106,3
30089,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30089,COMP 800,GRADUATE RESEARCH,,,1 TO 15
30003,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30003,ECON 211,PRINCIPLES OF ECONOMICS I,"Inal, Ozgur",9:00AM - 12:05PM MTWRF BKH 102,3
30036,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30036,ECON 211,PRINCIPLES OF ECONOMICS I,"Gunning, Timothy S.",9:00AM - 12:00PM MTR WSC 146,3
30111,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30111,ECON 800,GRADUATE RESEARCH,,,1 TO 12
30038,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30038,EDUC 440,SUPRV TEACH:SUMMER SCHOOL,"Heckelman, Lissa",7:30AM - 3:30PM MTWRF TBA TBA,3
30209,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30209,ELEC 490,ELEC ENG'G RESEARCH PROJECTS,"Kono, Junichiro", TBA TBA,1 TO 6
30246,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30246,ELEC 490,ELEC ENG'G RESEARCH PROJECTS,"Halas, Naomi", TBA TBA,1 TO 6
30210,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30210,ELEC 590,ELECTRICAL PROJECTS,,,1 TO 6
30211,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30211,ELEC 800,RESEARCH AND THESIS,,,1 TO 15
30172,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30172,ENGL 103,INTRO TO ARGUMENT AND WRITING,,,3
30173,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30173,ENGL 211,MAJR BRIT WRITERS:1800-PRESENT,,,3
30167,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30167,ENGL 270,ASPECTS OF MODERN LITERATURE,,1:00PM - 4:05PM MTWRF RZR 204,3
30039,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30039,ENGL 301,CREATIVE WRITING: FICTION,,,3
30146,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30146,ENGL 307,MEDICAL/TECH COMMUNICATION,,,3
30158,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30158,ENGL 321,SHAKESPEARE,"Campana, Joseph A.",9:00AM - 12:05PM MTWRF RZR 304,3
30041,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30041,ENGL 397,19TH C. NOVELS ON FILM,"Demirhan, Basak","10:00AM - 12:00PM M SEW 562
10:00AM - 11:30AM WF SEW 562",3
30071,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30071,ENGL 443,AUSTEN ONLY,"Dayton, Anne L.", TBA TBA,3
30221,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30221,ENGL 704,RESEARCH LEADING TO CANDIDACY,,,1 TO 15
30224,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30224,ENGL 800,PHD RESEARCH AND THESIS,,,1 TO 9
30042,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30042,ESCI 108,CRISES OF THE EARTH,"Sawyer, Dale S.",1:00PM - 3:30PM MTWR HRG 126,3
30124,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30124,ESCI 501,SPECIAL STUDIES GRAD STUDENTS,,,1 TO 15
30206,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30206,ESCI 515,GEOPHYS FLD WK FOR EDUCATORS,"Henning, Alison T.",8:00AM - 3:00PM MTWRF TBA TBA,3
30123,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30123,ESCI 800,THESIS RESEARCH,,,1 TO 15
30185,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30185,FREN 101,ELEMENTARY FRENCH I,"Van de Wiele, Aurelie",9:00AM - 12:00PM MTWRF RZR 305,5
30186,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30186,FREN 102,ELEMENTARY FRENCH II,"Van de Wiele, Aurelie", TBA TBA,5
30095,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30095,FREN 700,SUMMER GRADUATE RESEARCH,,,1 TO 12
30163,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200730&p_crn=30163,HEAL 119,CONCEPTS IN WELLNESS,"Berg, Rimo",9:00AM - 12:05PM MTWRF TUD 201,3
