CRN,URL,Course,Title,Instructors,Course Meeting,Credits
27974,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201320&p_crn=27974,AFSC 102,FOUNDATION OF THE USAF II,,"9:00AM - 9:59AM M TBA TBA
4:00PM - 5:59PM W TBA TBA",2
27975,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201320&p_crn=27975,AFSC 102,FOUNDATION OF THE USAF II,,"3:00PM - 3:59PM W TBA TBA
4:00PM - 5:59PM W TBA TBA",2
27981,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201320&p_crn=27981,AFSC 202,EVOLUTION OF AIR POWER II,,"8:00AM - 8:59AM M TBA TBA
4:00PM - 5:59PM W TBA TBA",2
27982,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201320&p_crn=27982,AFSC 202,EVOLUTION OF AIR POWER II,,"2:00PM - 2:59PM W TBA TBA
4:00PM - 5:59PM W TBA TBA",2
28107,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201320&p_crn=28107,AFSC 302,AIR FORCE LEADERSHIP STUDY II,,"11:30AM - 2:29PM T TBA TBA
4:00PM - 5:59PM W TBA TBA",3
26219,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201320&p_crn=26219,AFSC 402,NATIONAL SECURITY AFFAIRS II,,"10:00AM - 12:50PM W TBA TBA
4:00PM - 5:59PM W TBA TBA",3
21107,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201320&p_crn=21107,ANTH 200,INTRO TO STUDY OF LANGUAGE,"Taylor, Christopher M.",10:00AM - 10:50AM MWF HRG 100,3
23212,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201320&p_crn=23212,ANTH 200,INTRO TO STUDY OF LANGUAGE,"Englebretson, Robert E.",9:25AM - 10:40AM TR HRG 100,3
28094,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201320&p_crn=28094,ANTH 200,INTRO TO STUDY OF LANGUAGE,"Nelson, Katherine E.",1:00PM - 1:50PM MWF SEW 305,3
28666,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201320&p_crn=28666,ANTH 201,INTRO TO SOCIAL/CULTURAL ANTH,, TBA TBA,3
