CRN,URL,Course,Title,Instructors,Course Meeting,Credits
13709,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=13709,ACCO 305,FINANCIAL ACCT. -see BUSI 305,,,3
12086,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=12086,AFSC 101,FOUNDATION OF THE USAF I,,3:00PM - 5:00PM W TBA TBA,2
12967,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=12967,AFSC 101,FOUNDATION OF THE USAF I,,"9:00AM - 10:00AM T TBA TBA
3:00PM - 5:00PM W TBA TBA",2
12087,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=12087,AFSC 201,EVOLUTION OF AIR POWER,,"1:00PM - 2:00PM W TBA TBA
3:00PM - 5:00PM W TBA TBA",2
12969,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=12969,AFSC 201,EVOLUTION OF AIR POWER,,"8:00AM - 9:00AM R TBA TBA
3:00PM - 5:00PM W TBA TBA",2
12088,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=12088,AFSC 301,AIR FORCE LEADERSHIP STUDY I,,"12:00PM - 3:00PM M TBA TBA
3:00PM - 5:00PM W TBA TBA",3
12089,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=12089,AFSC 401,NATIONAL SECURITY AFFAIRS I,,"12:00PM - 3:00PM T TBA TBA
3:00PM - 5:00PM W TBA TBA",3
10838,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10838,ANTH 200,INTRO TO STUDY OF LANGUAGE,"Achard, Michel J.",11:00AM - 11:50AM MWF SEW 301,3
12711,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=12711,ANTH 201,SOCIAL/CULTURAL ANTHROPOLOGY,"Vann, Elizabeth F.",10:50AM - 12:05PM TR SEW 301,3
10840,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10840,ANTH 203,INTRO TO PHYSICAL ANTHROPOLOGY,"McIntosh, Susan K.",2:30PM - 3:50PM TR SEW 303,3
10842,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10842,ANTH 205,INTRO TO ARCHAEOLOGY,"Fleisher, Jeffrey B.",9:25AM - 10:40AM TR RZR 123,3
12714,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=12714,ANTH 235,NANOTECH: CONTENT AND CONTEXT,"Kulinowski, Kristen M.; Mody, Cyrus",9:25AM - 10:40AM TR SST 106,3
10895,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10895,ANTH 300,LINGUISTIC ANALYSIS,"Englebretson, Robert E.",11:00AM - 11:50AM MWF RZR 123,3
10843,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10843,ANTH 301,PHONETICS,"Crosswhite, Katherine M.",10:50AM - 12:05PM TR HUM 119,3
13379,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=13379,ANTH 305,HISTORICAL LINGUISTICS,"Robinson, Laura C.",9:25AM - 10:40AM TR HRG 126,3
13382,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=13382,ANTH 312,AFRICAN PREHISTORY,"Fleisher, Jeffrey B.",1:00PM - 2:20PM TR SEW 305,3
14077,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=14077,ANTH 343,NEW RELIG MOVEMENTS IN AFRICA,"Bongmba, Elias K.",1:00PM - 2:20PM TR RZR 304,3
13395,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=13395,ANTH 345,ARCHAEOLOGY IN SOCIAL CONTEXT,"McIntosh, Susan K.",10:50AM - 12:05PM TR HUM 327,3
13383,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=13383,ANTH 351,CULTURES OF NATIONALISM,"Elhaik, Tarik",2:00PM - 5:00PM W HNZ 207,3
13968,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=13968,ANTH 381,MEDICAL ANTHROPOLOGY,"Mitchell, Beverly M.",1:00PM - 2:20PM TR SEW 560,3
10849,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10849,ANTH 404,INDEPENDENT STUDY,, TBA TBA,1 TO 9
10850,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10850,ANTH 404,INDEPENDENT STUDY,"Faubion, Jim", TBA TBA,1 TO 9
10851,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10851,ANTH 404,INDEPENDENT STUDY,"Georges, Eugenia", TBA TBA,1 TO 9
10852,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10852,ANTH 404,INDEPENDENT STUDY,"Ninetto, Amy", TBA TBA,1 TO 9
10853,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10853,ANTH 404,INDEPENDENT STUDY,"Vann, Elizabeth F.", TBA TBA,1 TO 9
10854,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10854,ANTH 404,INDEPENDENT STUDY,"McIntosh, Susan K.", TBA TBA,1 TO 9
10855,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10855,ANTH 404,INDEPENDENT STUDY,, TBA TBA,1 TO 9
10856,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10856,ANTH 404,INDEPENDENT STUDY,"Elhaik, Tarik", TBA TBA,1 TO 9
10857,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10857,ANTH 404,INDEPENDENT STUDY,"Tyler, Stephen A.", TBA TBA,1 TO 9
13397,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=13397,ANTH 404,INDEPENDENT STUDY,, TBA TBA,1 TO 9
13398,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=13398,ANTH 404,INDEPENDENT STUDY,"Fleisher, Jeffrey B.", TBA TBA,1 TO 9
10858,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10858,ANTH 407,FIELD METHODS,"Robinson, Laura C.",3:00PM - 3:50PM TRF HRG 125,5
12376,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=12376,ANTH 414,HERMENEUTICS &LINGUISTIC ANTH,"Tyler, Stephen A.",10:50AM - 12:05PM TR SEW 560,3
13385,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=13385,ANTH 430,EXPERIMENTAL WRITING,"Elhaik, Tarik",2:30PM - 5:30PM R RZR 204,3
13209,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=13209,ANTH 454,THE ETHNOGRAPHER AS ARTIST,"Hughes, Gordon A.",2:00PM - 5:00PM W HRG 126,3
10860,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10860,ANTH 490,DIRECTED HONORS RESEARCH,, TBA TBA,1 TO 3
10861,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10861,ANTH 490,DIRECTED HONORS RESEARCH,"Faubion, Jim", TBA TBA,1 TO 3
10862,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10862,ANTH 490,DIRECTED HONORS RESEARCH,"Georges, Eugenia", TBA TBA,1 TO 3
10863,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10863,ANTH 490,DIRECTED HONORS RESEARCH,"Ninetto, Amy", TBA TBA,1 TO 3
10864,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10864,ANTH 490,DIRECTED HONORS RESEARCH,"Vann, Elizabeth F.", TBA TBA,1 TO 3
10865,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10865,ANTH 490,DIRECTED HONORS RESEARCH,"McIntosh, Susan K.", TBA TBA,1 TO 3
10866,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10866,ANTH 490,DIRECTED HONORS RESEARCH,"Ninetto, Amy", TBA TBA,1 TO 3
10867,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10867,ANTH 490,DIRECTED HONORS RESEARCH,"Elhaik, Tarik", TBA TBA,1 TO 3
10868,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10868,ANTH 490,DIRECTED HONORS RESEARCH,"Tyler, Stephen A.", TBA TBA,1 TO 3
13399,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=13399,ANTH 490,DIRECTED HONORS RESEARCH,, TBA TBA,1 TO 3
13400,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=13400,ANTH 490,DIRECTED HONORS RESEARCH,"Fleisher, Jeffrey B.", TBA TBA,1 TO 3
11739,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=11739,ANTH 500,LINGUISTIC ANALYSIS,"Englebretson, Robert E.",11:00AM - 11:50AM MWF RZR 123,3
11740,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=11740,ANTH 501,PHONETICS,"Crosswhite, Katherine M.",10:50AM - 12:05PM TR HUM 119,3
13387,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=13387,ANTH 505,HISTORICAL LINGUISTICS,"Robinson, Laura C.",9:25AM - 10:40AM TR HRG 126,3
13389,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=13389,ANTH 512,AFRICAN PREHISTORY,"Fleisher, Jeffrey B.",1:00PM - 2:20PM TR SEW 305,3
13396,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=13396,ANTH 545,ARCHAEOLOGY IN SOCIAL CONTEXT,"McIntosh, Susan K.",10:50AM - 12:05PM TR HUM 327,3
13390,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=13390,ANTH 551,CULTURES OF NATIONALISM,"Elhaik, Tarik",2:00PM - 5:00PM W HNZ 207,3
13969,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=13969,ANTH 581,MEDICAL ANTHROPOLOGY,"Mitchell, Beverly M.",1:00PM - 2:20PM TR SEW 560,3
10870,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10870,ANTH 600,INDEPENDENT STUDY,, TBA TBA,1 TO 9
10878,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10878,ANTH 600,INDEPENDENT STUDY,"Faubion, Jim", TBA TBA,1 TO 9
10880,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10880,ANTH 600,INDEPENDENT STUDY,"Georges, Eugenia", TBA TBA,1 TO 9
10881,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10881,ANTH 600,INDEPENDENT STUDY,"Ninetto, Amy", TBA TBA,1 TO 9
10883,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10883,ANTH 600,INDEPENDENT STUDY,"Vann, Elizabeth F.", TBA TBA,1 TO 9
10884,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10884,ANTH 600,INDEPENDENT STUDY,"McIntosh, Susan K.", TBA TBA,1 TO 9
10885,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10885,ANTH 600,INDEPENDENT STUDY,, TBA TBA,1 TO 9
10886,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10886,ANTH 600,INDEPENDENT STUDY,"Elhaik, Tarik", TBA TBA,1 TO 9
10887,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10887,ANTH 600,INDEPENDENT STUDY,"Tyler, Stephen A.", TBA TBA,1 TO 9
13401,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=13401,ANTH 600,INDEPENDENT STUDY,, TBA TBA,1 TO 9
13402,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=13402,ANTH 600,INDEPENDENT STUDY,"Fleisher, Jeffrey B.", TBA TBA,1 TO 9
10889,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10889,ANTH 601,PROSEMINAR IN ANTHROPOLOGY,"Vann, Elizabeth F.; Olson, Valerie A.",1:00PM - 4:00PM M TBA TBA,3
10890,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10890,ANTH 602,PROPOSAL WRITING SEMINAR,"Georges, Eugenia",2:00PM - 5:00PM W SEW 562,3
13992,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=13992,ANTH 604,ARCHAEOLOGICAL RESEARCH DESIGN,"McIntosh, Susan K.", TBA TBA,3
13394,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=13394,ANTH 605,FIELDWORK,"Riedel, Brian S.",2:30PM - 5:30PM T HRZ 119,4
12377,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=12377,ANTH 614,HERMENEUTICS &LINGUISTIC ANTH,"Tyler, Stephen A.",10:50AM - 12:05PM TR SEW 560,3
13393,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=13393,ANTH 630,EXPERIMENTAL WRITING,"Elhaik, Tarik",2:30PM - 5:30PM R RZR 204,3
12380,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=12380,ANTH 650,PEDAGOGY,"Vann, Elizabeth F.", TBA TBA,3
10894,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10894,ANTH 800,RESEARCH AND THESIS,"Faubion, Jim", TBA TBA,3 TO 9
10586,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10586,ARAB 101,INTRO TO MODERN ARABIC I,"Awad, Maher M.",9:00AM - 9:50AM MWF RZR 106,5
10589,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10589,ARAB 201,INTERMEDIATE MODERN ARABIC I,"Awad, Maher M.",1:00PM - 1:50PM MWF HBH 21,4
10697,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10697,ARAB 301,SEMINAR IN ARABIC,"Awad, Maher M.",2:00PM - 2:50PM MWF HBH 21,3
10590,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10590,ARAB 398,INDEPENDENT STUDY,"Awad, Maher M.", TBA TBA,1 TO 6
10563,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10563,ARCH 101,PRINCIPLES OF ARCHITECTURE I,"Samuels, Danny M.; Grenader, Nonya S.",2:00PM - 5:00PM MWF ANH 212,4
12146,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=12146,ARCH 115,WOODSHOP SAFETY,"Loucks, Chad O.", TBA TBA,1
10565,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10565,ARCH 201,PRINCIPLES OF ARCHITECTURE II,"Oliver, Douglas E.; Schaum, Troy",1:00PM - 5:00PM MWF ANH 146,6
10566,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10566,ARCH 207,INTRO TO DESIGNS OF STRUCTURES,"Wittenberg, Gordon G.",9:25AM - 10:40AM TR ANH 117,3
12700,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=12700,ARCH 220,ISTANBUL: IMPERIAL CITY,"Hamadeh, Shirine T.",10:50AM - 12:05PM TR HRG 124,3
10567,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10567,ARCH 301,PRINCIPLES OF ARCHITECTURE III,"Robinson, Michael",1:00PM - 5:00PM MWF ANH 237,6
14023,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=14023,ARCH 304,DESIGN & KNOWLEDGE PRODUCTION,"Gass, Izabel I.",9:00AM - 12:00PM M ANH 148,3
14021,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=14021,ARCH 307,INTRODUCTION TO LANDSCAPE,"Albers, Andrew S.; Alfaro, Ernesto D.",6:30PM - 7:50PM TR ANH 210,3
10568,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10568,ARCH 311,HOUSTON ARCHITECTURE,"Fox, Stephen",10:50AM - 12:05PM TR ANH 117,3
10569,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10569,ARCH 313,SUSTAINABLE DESIGN,"Taylor, Rives T.",7:00PM - 9:45PM R ANH 117,3
12129,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=12129,ARCH 317,LANDSCAPE&SITE STRATG HOUSTON,"Albert, Larry; Whitehead, Kerry C.",7:00PM - 9:45PM T ANH 148,3
10571,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10571,ARCH 327,BUILDING WORKSHOP I,"Samuels, Danny M.",4:00PM - 5:20PM TR ANH 148,3
13577,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=13577,ARCH 328,10 MONUMENTS OF ISLAMIC WRLD,"Hamadeh, Shirine T.",2:00PM - 5:00PM T HRG 124,3
12127,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=12127,ARCH 344,CONSTRUCTION & DESIGN,"Parsons, Spencer W.",4:00PM - 5:20PM TR ANH 210,3
10573,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10573,ARCH 345,ARCHITECTURE & THE CITY I,"El-Dahdah, Fares",4:00PM - 5:20PM TR ANH 117,3
10574,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10574,ARCH 353,PHOTO FOR ARCHITECTS,"White, Frank S.",9:25AM - 10:40AM TR ANH 148,3
13175,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=13175,ARCH 360,AMER ARCH & DECOR ARTS 1900,"Manca, Joseph P.",11:00AM - 12:15PM MW HRG 100,3
10575,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10575,ARCH 401,PRINCIPLES OF ARCHITECTURE IV,"Jimenez, Carlos; Morrow, Michael M.",1:00PM - 5:00PM MWF ANH 235,6
10576,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10576,ARCH 435,INTRO TO ARCH RE-PRESENTATION,,6:30PM - 7:50PM TR ANH 218,3
12131,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=12131,ARCH 439,INTRO ARCH REPRESENTATION,"Robinson, Michael",10:00AM - 11:15AM WF ANH 117,3
14033,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=14033,ARCH 441,MORE THAN AURAS,"Lally, Sean",7:00PM - 10:00PM W TBA TBA,3
10578,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10578,ARCH 455,HOUSE&URBAN PROG:ISSUES POLICY,"Lord, Tom F.",2:30PM - 3:50PM TR ANH 210,3
10580,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200910&p_crn=10580,ARCH 461,SPECIAL PROJECTS,"Casbarian, John J.", TBA TBA,1 TO 9
