CRN,URL,Course,Title,Instructors,Course Meeting,Credits
21782,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=21782,ACCO 305,FINANCIAL ACCOUNTING,"Widener, Sally K.",10:50AM - 12:05PM TR MCN 318,3
21783,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=21783,ACCO 305,FINANCIAL ACCOUNTING,"Castor Brooks, Gerri",7:00PM - 8:15PM MW MCN 314,3
22195,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=22195,AFSC 102,FOUNDATION OF THE USAF II,,"1:00PM - 2:00PM T TBA TBA
4:00PM - 6:00PM W TBA TBA",2
22512,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=22512,AFSC 102,FOUNDATION OF THE USAF II,,"11:00AM - 12:00PM W TBA TBA
4:00PM - 6:00PM W TBA TBA",2
22513,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=22513,AFSC 102,FOUNDATION OF THE USAF II,,"2:00PM - 3:00PM T TBA TBA
4:00PM - 6:00PM W TBA TBA",2
22514,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=22514,AFSC 202,EVOLUTION OF AIR POWER II,,"1:00PM - 2:00PM R TBA TBA
4:00PM - 6:00PM W TBA TBA",2
22515,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=22515,AFSC 202,EVOLUTION OF AIR POWER II,,"11:00AM - 12:00PM M TBA TBA
4:00PM - 6:00PM W TBA TBA",2
22511,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=22511,AFSC 302,AIR FORCE LEADERSHIP STUDY II,,"9:00AM - 12:00PM T TBA TBA
4:00PM - 6:00PM W TBA TBA",3
22516,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=22516,AFSC 302,AIR FORCE LEADERSHIP STUDY II,,"12:00PM - 3:00PM M TBA TBA
4:00PM - 6:00PM W TBA TBA",3
22517,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=22517,AFSC 402,NATIONAL SECURITY AFFAIRS II,,"12:00PM - 3:00PM W TBA TBA
4:00PM - 6:00PM W TBA TBA",3
21107,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=21107,ANTH 200,INTRO TO STUDY OF LANGUAGE,"Achard, Michel J.",10:00AM - 10:50AM MWF SEW 301,3
21110,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=21110,ANTH 323,INTRODUCTION TO PHONOLOGY,"Crosswhite, Katherine M.",11:00AM - 11:50AM MWF HRG 125,3
22553,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=22553,ANTH 352,A RESEARCH PRACTICUM,"Faubion, Jim; Georges, Eugenia; Ninetto, Amy",2:30PM - 3:50PM TR SEW 560,3
21111,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=21111,ANTH 362,ARCHAEOLOGICAL  FLD TECHNIQUES,"McIntosh, Susan K.",2:00PM - 5:00PM W SEW 103,3
22555,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=22555,ANTH 372,CULTURES OF CAPITALISM,"Vann, Elizabeth F.",10:50AM - 12:05PM TR SEW 560,3
22557,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=22557,ANTH 390,"CULTR, NARRAT'N & SUBJECTIVTY","Naficy, Nahal",4:00PM - 5:20PM TR SEW 560,3
21112,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=21112,ANTH 404,INDEPENDENT STUDY,, TBA TBA,1 TO 9
21113,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=21113,ANTH 404,INDEPENDENT STUDY,"Faubion, Jim", TBA TBA,1 TO 9
21114,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=21114,ANTH 404,INDEPENDENT STUDY,"Georges, Eugenia", TBA TBA,1 TO 9
21115,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=21115,ANTH 404,INDEPENDENT STUDY,"Ninetto, Amy", TBA TBA,1 TO 9
21116,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=21116,ANTH 404,INDEPENDENT STUDY,"Vann, Elizabeth F.", TBA TBA,1 TO 9
21117,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=21117,ANTH 404,INDEPENDENT STUDY,"McIntosh, Susan K.", TBA TBA,1 TO 9
21118,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=21118,ANTH 404,INDEPENDENT STUDY,"Kelty, Christopher M.", TBA TBA,1 TO 9
21119,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=21119,ANTH 404,INDEPENDENT STUDY,"Elhaik, Tarik", TBA TBA,1 TO 9
21120,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=21120,ANTH 404,INDEPENDENT STUDY,"Tyler, Stephen A.", TBA TBA,1 TO 9
21121,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=21121,ANTH 404,INDEPENDENT STUDY,"Landecker, Hannah L.", TBA TBA,1 TO 9
22566,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=22566,ANTH 404,INDEPENDENT STUDY,"Fleisher, Jeffrey B.", TBA TBA,1 TO 9
21122,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=21122,ANTH 408,FIELD METHODS,"Stanford, James N.","12:00PM - 12:50PM MW WSC 123
2:00PM - 2:50PM F HRG 125",5
22306,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=22306,ANTH 411,NEUROLINGUISTICS,"Lamb, Sydney M.",10:50AM - 12:05PM TR HRZ 122,3
21153,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=21153,ANTH 412,RHETORIC,"Tyler, Stephen A.",9:25AM - 10:40AM TR SEW 560,3
22567,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=22567,ANTH 442,MUSEUMS: THEORY & PRACTICE,"McIntosh, Susan K.",7:00PM - 10:00PM W SEW 103,3
22569,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=22569,ANTH 446,ADV BIOMEDICAL ANTHROPOLOGY,"Georges, Eugenia",2:00PM - 5:00PM W SEW 560,3
22559,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=22559,ANTH 455,SCIENCE AND TECHNOLOGY STUDIES,"Pollock, Anne",2:00PM - 5:00PM M SEW 560,3
22570,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=22570,ANTH 456,HERITAGE MANAGEMENT,"Fleisher, Jeffrey B.",1:00PM - 2:20PM TR HBH 453,3
22811,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=22811,ANTH 483,DOCUM & ETHNOGRAPH FILM,"Elhaik, Tarik",2:00PM - 5:00PM F SEW 562,4
21123,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=21123,ANTH 491,DIRECTED HONORS RESEARCH,"McIntosh, Susan K.", TBA TBA,3
21124,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=21124,ANTH 491,DIRECTED HONORS RESEARCH,"Faubion, Jim", TBA TBA,3
21125,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=21125,ANTH 491,DIRECTED HONORS RESEARCH,"Georges, Eugenia", TBA TBA,3
21126,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=21126,ANTH 491,DIRECTED HONORS RESEARCH,"Ninetto, Amy", TBA TBA,3
21127,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=21127,ANTH 491,DIRECTED HONORS RESEARCH,"Vann, Elizabeth F.", TBA TBA,3
21128,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=21128,ANTH 491,DIRECTED HONORS RESEARCH,"McIntosh, Susan K.", TBA TBA,3
21129,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=21129,ANTH 491,DIRECTED HONORS RESEARCH,"Kelty, Christopher M.", TBA TBA,3
21130,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=21130,ANTH 491,DIRECTED HONORS RESEARCH,"Elhaik, Tarik", TBA TBA,3
21131,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=21131,ANTH 491,DIRECTED HONORS RESEARCH,"Tyler, Stephen A.", TBA TBA,3
21132,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=21132,ANTH 491,DIRECTED HONORS RESEARCH,"Landecker, Hannah L.", TBA TBA,3
21133,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=21133,ANTH 491,DIRECTED HONORS RESEARCH,"Fleisher, Jeffrey B.", TBA TBA,3
21134,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=21134,ANTH 491,DIRECTED HONORS RESEARCH,,,3
22565,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=22565,ANTH 507,ANTHRO FROM 2ND WW-PRESENT,"Vann, Elizabeth F.",1:00PM - 4:00PM W SEW 562,3
21172,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=21172,ANTH 523,INTRODUCTION TO PHONOLOGY,"Crosswhite, Katherine M.",11:00AM - 11:50AM MWF HRG 125,3
22554,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=22554,ANTH 552,A RESEARCH PRACTICUM,"Faubion, Jim; Georges, Eugenia; Ninetto, Amy",2:30PM - 3:50PM TR SEW 560,3
21135,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=21135,ANTH 562,ARCHAEOLOGICAL FLD TECHNIQUES,"McIntosh, Susan K.",2:00PM - 5:00PM W SEW 103,3
22556,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=22556,ANTH 572,CULTURES OF CAPITALISM,"Vann, Elizabeth F.",10:50AM - 12:05PM TR SEW 560,3
22564,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=22564,ANTH 590,"CULTR, NARRAT'N & SUBJECTIVITY","Naficy, Nahal",4:00PM - 5:20PM TR SEW 560,3
21136,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=21136,ANTH 600,INDEPENDENT STUDY,, TBA TBA,1 TO 9
21137,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=21137,ANTH 600,INDEPENDENT STUDY,"Faubion, Jim", TBA TBA,1 TO 9
21138,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=21138,ANTH 600,INDEPENDENT STUDY,"Georges, Eugenia", TBA TBA,1 TO 9
21139,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=21139,ANTH 600,INDEPENDENT STUDY,"Ninetto, Amy", TBA TBA,1 TO 9
21140,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=21140,ANTH 600,INDEPENDENT STUDY,"Vann, Elizabeth F.", TBA TBA,1 TO 9
21141,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=21141,ANTH 600,INDEPENDENT STUDY,"McIntosh, Susan K.", TBA TBA,1 TO 9
21142,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=21142,ANTH 600,INDEPENDENT STUDY,"Kelty, Christopher M.", TBA TBA,1 TO 9
21143,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=21143,ANTH 600,INDEPENDENT STUDY,"Elhaik, Tarik", TBA TBA,1 TO 9
21144,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=21144,ANTH 600,INDEPENDENT STUDY,"Tyler, Stephen A.", TBA TBA,1 TO 9
21145,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=21145,ANTH 600,INDEPENDENT STUDY,"Landecker, Hannah L.", TBA TBA,1 TO 9
21146,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=21146,ANTH 600,INDEPENDENT STUDY,"Fleisher, Jeffrey B.", TBA TBA,1 TO 9
21147,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=21147,ANTH 600,INDEPENDENT STUDY,"Pollock, Anne", TBA TBA,1 TO 9
21155,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=21155,ANTH 612,RHETORIC,"Tyler, Stephen A.",9:25AM - 10:40AM TR SEW 560,3
22568,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=22568,ANTH 642,MUSEUMS: THEORY & PRACTICE,"McIntosh, Susan K.",7:00PM - 10:00PM W SEW 103,3
22558,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=22558,ANTH 646,ADV BIOMEDICAL ANTHROPOLOGY,"Georges, Eugenia",2:00PM - 5:00PM W SEW 560,3
21148,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=21148,ANTH 650,PEDAGOGY,"Faubion, Jim", TBA TBA,3
22561,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=22561,ANTH 655,SCIENCE AND TECHNOLOGY STUDIES,"Pollock, Anne",2:00PM - 5:00PM M SEW 560,3
22571,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=22571,ANTH 656,HERITAGE MANAGEMENT,"Fleisher, Jeffrey B.",1:00PM - 2:20PM TR HBH 453,3
22866,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=22866,ANTH 683,DOCUMENTARY AND ETHNOGRAPHIC,"Elhaik, Tarik",2:00PM - 5:00PM F SEW 562,3
21149,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=21149,ANTH 800,RESEARCH AND THESIS,"Faubion, Jim", TBA TBA,3 TO 9
20378,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=200820&p_crn=20378,ARAB 102,INTRO TO MODERN ARABIC II,"Awad, Maher M.",9:00AM - 9:50AM MWF RZR 204,5
