CRN,URL,Course,Title,Instructors,Course Meeting,Credits
30955,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30955,ANTH 200,INTRO TO STUDY OF LANGUAGE,"Crouch, Caroline Q.",10:30AM - 12:00PM TWRF FULLY ONLINE,3
30956,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30956,ANTH 200,INTRO TO STUDY OF LANGUAGE,"McCleary, Bryce E.",10:30AM - 12:05PM MTWR FULLY ONLINE,3
30890,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30890,ANTH 201,INTRO TO SOCIAL/CULTURAL ANTH,"Georgiev, Konstantin",9:30AM - 12:15PM TR FULLY ONLINE,3
30851,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30851,ANTH 203,INTRO BIOLOGICAL ANTHROPOLOGY,"Morgan, Molly",7:00PM - 9:30PM TR FULLY ONLINE,3
30964,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30964,ANTH 322,GLOBAL IM/MOBILITIES,"Flores, Lupe",9:30AM - 11:30AM MW TBD TBA,3
30220,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30220,ANTH 800,RESEARCH AND THESIS,"Georges, Eugenia", TBA TBA,3 TO 9
30104,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30104,ANTH 800,RESEARCH AND THESIS,"Howe, Cymene", TBA TBA,3 TO 9
30596,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30596,ANTH 800,RESEARCH AND THESIS,"Visweswaran, Kamala", TBA TBA,3 TO 9
30221,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30221,ANTH 800,RESEARCH AND THESIS,"Boyer, Dominic C.", TBA TBA,3 TO 9
30597,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30597,ANTH 800,RESEARCH AND THESIS,"Fleisher, Jeffrey B.", TBA TBA,3 TO 9
30767,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30767,ANTH 800,RESEARCH AND THESIS,"Gunel, Gokce", TBA TBA,3 TO 9
30850,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30850,ANTH 800,RESEARCH AND THESIS,"Prendergast, Mary E.", TBA TBA,3 TO 9
30436,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30436,APPL 490,UNDERGRAD SUMMER RESEARCH-REU,"Pimpinelli, Alberto F.", TBA TBA,1 TO 6
30052,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30052,APPL 800,RESEARCH AND THESIS,"Tkaczyk, Tomasz", TBA TBA,1 TO 15
30053,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30053,APPL 800,RESEARCH AND THESIS,"Kemere, Caleb T.", TBA TBA,1 TO 15
30054,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30054,APPL 800,RESEARCH AND THESIS,"Nevidomskyy, Andriy", TBA TBA,1 TO 15
30055,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30055,APPL 800,RESEARCH AND THESIS,"Raphael, Rob", TBA TBA,1 TO 15
30056,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30056,APPL 800,RESEARCH AND THESIS,"Grande-Allen, K. Jane", TBA TBA,1 TO 15
30057,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30057,APPL 800,RESEARCH AND THESIS,"Levine, Herbert", TBA TBA,1 TO 15
30058,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30058,APPL 800,RESEARCH AND THESIS,"Pitkow, Xaq", TBA TBA,1 TO 15
30059,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30059,APPL 800,RESEARCH AND THESIS,"Wong, Michael S.", TBA TBA,1 TO 15
30060,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30060,APPL 800,RESEARCH AND THESIS,"Robinson, Jacob T.", TBA TBA,1 TO 15
30061,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30061,APPL 800,RESEARCH AND THESIS,"Halas, Naomi", TBA TBA,1 TO 15
30062,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30062,APPL 800,RESEARCH AND THESIS,"Kelly, Kevin F.", TBA TBA,1 TO 15
30063,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30063,APPL 800,RESEARCH AND THESIS,"Kono, Junichiro", TBA TBA,1 TO 15
30064,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30064,APPL 800,RESEARCH AND THESIS,"Han, Yimo", TBA TBA,1 TO 15
30065,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30065,APPL 800,RESEARCH AND THESIS,"Mohite, Aditya D.", TBA TBA,1 TO 15
30066,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30066,APPL 800,RESEARCH AND THESIS,"Igoshin, Oleg", TBA TBA,1 TO 15
30067,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30067,APPL 800,RESEARCH AND THESIS,"Gustavsson, Anna-Karin E.", TBA TBA,1 TO 15
30068,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30068,APPL 800,RESEARCH AND THESIS,"Tour, James M.", TBA TBA,1 TO 15
30069,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30069,APPL 800,RESEARCH AND THESIS,"Alabastri, Alessandro", TBA TBA,1 TO 15
30070,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30070,APPL 800,RESEARCH AND THESIS,"Ajayan, Pulickel M.", TBA TBA,1 TO 15
30071,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30071,APPL 800,RESEARCH AND THESIS,"Chen, Songtao", TBA TBA,1 TO 15
30072,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30072,APPL 800,RESEARCH AND THESIS,"Zhu, Hanyu", TBA TBA,1 TO 15
30073,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30073,APPL 800,RESEARCH AND THESIS,"Natelson, Doug", TBA TBA,1 TO 15
30074,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30074,APPL 800,RESEARCH AND THESIS,"Hulet, Randy", TBA TBA,1 TO 15
30075,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30075,APPL 800,RESEARCH AND THESIS,"Szablowski, Jerzy", TBA TBA,1 TO 15
30076,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30076,APPL 800,RESEARCH AND THESIS,"Killian, Thomas C.", TBA TBA,1 TO 15
30077,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30077,APPL 800,RESEARCH AND THESIS,"Nordlander, Peter J.", TBA TBA,1 TO 15
30078,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30078,APPL 800,RESEARCH AND THESIS,"Landes, Christy F.", TBA TBA,1 TO 15
30079,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30079,APPL 800,RESEARCH AND THESIS,"Naik, Gururaj V.", TBA TBA,1 TO 15
30222,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30222,APPL 800,RESEARCH AND THESIS,"Veeraraghavan, Ashok", TBA TBA,1 TO 15
30298,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30298,APPL 800,RESEARCH AND THESIS,"Luan, Lan", TBA TBA,1 TO 15
30299,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30299,APPL 800,RESEARCH AND THESIS,"Link, Stephan", TBA TBA,1 TO 15
30300,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30300,APPL 800,RESEARCH AND THESIS,"Wolynes, Peter", TBA TBA,1 TO 15
30462,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30462,APPL 800,RESEARCH AND THESIS,"Morosan, Emilia", TBA TBA,1 TO 15
30463,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30463,APPL 800,RESEARCH AND THESIS,"Kolomeisky, Anatoly B.", TBA TBA,1 TO 15
30464,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30464,APPL 800,RESEARCH AND THESIS,"Pagano, Guido", TBA TBA,1 TO 15
30734,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30734,APPL 800,RESEARCH AND THESIS,"Xie, Chong", TBA TBA,1 TO 15
30735,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30735,APPL 800,RESEARCH AND THESIS,"Verduzco, Rafael", TBA TBA,1 TO 15
30736,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30736,APPL 800,RESEARCH AND THESIS,"Yi, Ming", TBA TBA,1 TO 15
30795,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30795,APPL 800,RESEARCH AND THESIS,"Chan, Anthony A.", TBA TBA,1 TO 15
30796,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30796,APPL 800,RESEARCH AND THESIS,"Tang, Ming", TBA TBA,1 TO 15
30939,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30939,APPL 800,RESEARCH AND THESIS,"Huang, Shengxi", TBA TBA,1 TO 15
30940,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202330&p_crn=30940,APPL 800,RESEARCH AND THESIS,"Baraniuk, Richard G", TBA TBA,1 TO 15
