CRN,URL,Course,Title,Instructors,Course Meeting,Credits
20549,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202020&p_crn=20549,AFSC 102,FOUNDATION OF THE USAF II,,"8:00AM - 8:59AM T TBA TBA
2:30PM - 4:20PM W TBA TBA",2
20550,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202020&p_crn=20550,AFSC 102,FOUNDATION OF THE USAF II,,"12:00PM - 12:50PM W TBA TBA
2:30PM - 4:20PM W TBA TBA",2
20551,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202020&p_crn=20551,AFSC 202,EVOLUTION OF AIR POWER II,,"9:00AM - 9:59AM T TBA TBA
2:30PM - 4:20PM W TBA TBA",2
20552,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202020&p_crn=20552,AFSC 202,EVOLUTION OF AIR POWER II,,"1:00PM - 1:50PM W TBA TBA
2:30PM - 4:20PM W TBA TBA",2
20568,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202020&p_crn=20568,AFSC 302,AIR FORCE LEADERSHIP STUDY II,,"8:00AM - 10:59AM W TBA TBA
2:30PM - 4:20PM W TBA TBA",3
20354,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202020&p_crn=20354,AFSC 402,NATIONAL SECURITY AFFAIRS II,,"10:00AM - 12:50PM W TBA TBA
2:30PM - 4:20PM W TBA TBA",3
23537,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202020&p_crn=23537,ANTH 200,INTRO TO STUDY OF LANGUAGE,"Achard, Michel J.",9:25AM - 10:40AM TR HRG 100,3
23979,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202020&p_crn=23979,ANTH 238,ARCHAEO HERITAGE OF MEXICO,"Heath-Stout, Laura E.",2:00PM - 3:15PM MW RZR 123,3
22124,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202020&p_crn=22124,ANTH 301,PHONETICS,"Manker, Jonathan",1:00PM - 1:50PM MWF BKH 102,3
23541,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202020&p_crn=23541,ANTH 305,HISTORICAL LINGUISTICS,"Manker, Jonathan",10:00AM - 10:50AM MWF HRG 125,3
23391,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202020&p_crn=23391,ANTH 311,MASCULINITIES,"Campbell, Baird C.",10:50AM - 12:05PM TR SEW 560,3
23924,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202020&p_crn=23924,ANTH 322,GLOBAL IM/MOBILITIES,"McDonald, Charles A.",2:30PM - 3:45PM TR WSC 146,3
23916,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202020&p_crn=23916,ANTH 341,MUSEUMS AND HERITAGE,"Heath-Stout, Laura E.; Spadafora, Claire E.",4:00PM - 5:15PM MW RZR 123,3
23393,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202020&p_crn=23393,ANTH 362,ARCHAEOLOGICAL FLD TECHNIQUES,"Morgan, Molly",2:30PM - 5:00PM R SEW 103,3
23395,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202020&p_crn=23395,ANTH 363,ARCHAEOLOGY CITIES AND STATE,"Morgan, Molly",10:50AM - 12:05PM TR SEW 303,3
24033,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202020&p_crn=24033,ANTH 380,GLOBAL HEALTH JUSTICE,"Mitchell, Beverly M.",1:00PM - 3:30PM R SEW 562,3
22915,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202020&p_crn=22915,ANTH 381,MEDICAL ANTHROPOLOGY,"Mitchell, Beverly M.",1:00PM - 3:30PM T SEW 562,3
23935,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202020&p_crn=23935,ANTH 382,"BODY, TECHNOLOGY, ENHANCEMENT","Wool, Zoe H.",4:00PM - 5:15PM TR SEW 562,3
23754,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202020&p_crn=23754,ANTH 396,LAW AND RESISTANCE,"Werth, Robert J.; Ballestero, Andrea",2:00PM - 3:15PM MW RZR 119,3
20527,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202020&p_crn=20527,ANTH 404,INDEPENDENT STUDY,"Faubion, Jim", TBA TBA,1 TO 9
20158,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202020&p_crn=20158,ANTH 404,INDEPENDENT STUDY,"Georges, Eugenia", TBA TBA,1 TO 9
21750,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202020&p_crn=21750,ANTH 404,INDEPENDENT STUDY,"Ballestero, Andrea", TBA TBA,1 TO 9
20896,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202020&p_crn=20896,ANTH 404,INDEPENDENT STUDY,"McIntosh, Susan K.", TBA TBA,1 TO 9
21155,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202020&p_crn=21155,ANTH 404,INDEPENDENT STUDY,"Wool, Zoe H.", TBA TBA,1 TO 9
22505,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202020&p_crn=22505,ANTH 404,INDEPENDENT STUDY,"Mitchell, Beverly M.", TBA TBA,1 TO 9
20531,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202020&p_crn=20531,ANTH 404,INDEPENDENT STUDY,"Fleisher, Jeffrey B.", TBA TBA,1 TO 9
24327,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202020&p_crn=24327,ANTH 477,INTERNATIONAL RSCH EXPERIENCE,"Georges, Eugenia; Quinn, Timothy J.",2:00PM - 4:30PM W SEW 562,3
20528,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202020&p_crn=20528,ANTH 491,DIRECTED HONORS RESEARCH,"Faubion, Jim", TBA TBA,3
20529,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202020&p_crn=20529,ANTH 491,DIRECTED HONORS RESEARCH,"Georges, Eugenia", TBA TBA,3
21751,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202020&p_crn=21751,ANTH 491,DIRECTED HONORS RESEARCH,"Ballestero, Andrea", TBA TBA,3
20368,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202020&p_crn=20368,ANTH 491,DIRECTED HONORS RESEARCH,"McIntosh, Susan K.", TBA TBA,3
21158,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202020&p_crn=21158,ANTH 491,DIRECTED HONORS RESEARCH,"Wool, Zoe H.", TBA TBA,3
22539,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202020&p_crn=22539,ANTH 491,DIRECTED HONORS RESEARCH,"Mitchell, Beverly M.", TBA TBA,3
20532,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202020&p_crn=20532,ANTH 491,DIRECTED HONORS RESEARCH,"Fleisher, Jeffrey B.", TBA TBA,3
20690,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202020&p_crn=20690,ANTH 495,ANTHROPOLOGY CAPSTONE,"Faubion, Jim", TBA TBA,3
20692,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202020&p_crn=20692,ANTH 495,ANTHROPOLOGY CAPSTONE,"Georges, Eugenia", TBA TBA,3
21752,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202020&p_crn=21752,ANTH 495,ANTHROPOLOGY CAPSTONE,"Ballestero, Andrea", TBA TBA,3
20691,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202020&p_crn=20691,ANTH 495,ANTHROPOLOGY CAPSTONE,"McIntosh, Susan K.", TBA TBA,3
21159,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202020&p_crn=21159,ANTH 495,ANTHROPOLOGY CAPSTONE,"Wool, Zoe H.", TBA TBA,3
