CRN,URL,Course,Title,Instructors,Course Meeting,Credits
30385,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201030&p_crn=30385,ANTH 201,INTRO TO SOCIAL/CULTURAL ANTH,"Mitchell, Beverly M.",12:15PM - 2:30PM TWR SEW 562,3
30278,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201030&p_crn=30278,ANTH 322,CULTURES AND IDENTITIES,"Ranova, Elitza S.",9:00AM - 1:00PM MTWR HRZ 118,3
30282,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201030&p_crn=30282,ANTH 356,THE CULTURAL BODY,"Pereira, Stacey A.",9:00AM - 11:30AM TR SEW 562,3
30280,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201030&p_crn=30280,ANTH 381,MEDICAL ANTHROPOLOGY,"Mitchell, Beverly M.",12:00PM - 3:05PM MTWRF SEW 562,3
30352,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201030&p_crn=30352,ANTH 381,MEDICAL ANTHROPOLOGY,"Mitchell, Beverly M.",2:00PM - 5:00PM TWR SEW 562,3
30281,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201030&p_crn=30281,ANTH 386,"MEDICINE, FOOD, AND HEALTH","Pereira, Stacey A.",8:50AM - 11:55AM MTWRF SEW 562,3
30284,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201030&p_crn=30284,ANTH 388,LIFECYCLE: A BIOCULTURAL VIEW,"Mitchell, Beverly M.",5:30PM - 8:30PM TWR SEW 562,3
30388,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201030&p_crn=30388,ANTH 404,INDEPENDENT STUDY,"Mitchell, Beverly M.", TBA TBA,1 TO 9
30116,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201030&p_crn=30116,ANTH 800,RESEARCH AND THESIS,, TBA TBA,3 TO 9
30038,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201030&p_crn=30038,ARCH 700,PRACTICUM,"Casbarian, John J.", TBA TBA,3
30314,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201030&p_crn=30314,ARTS 432,FILM GENRE: THE WESTERN,"Huberman, Brian M.",7:00PM - 10:00PM TR MED 100,3
30313,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201030&p_crn=30313,ASTR 201,"STARS, GALAXIES & THE UNIVERSE","Meyer, Eileen T.",1:00PM - 2:45PM MWF FON 414,3
30327,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201030&p_crn=30327,BIOE 322,FUND OF SYSTEMS PHYSIOLOGY,"Jacot, Jeff",9:00AM - 12:00PM MW TBA TBA,3
30267,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201030&p_crn=30267,BIOE 342,LABORATORY IN TISSUE CULTURE,"Saterbak, Ann",9:00AM - 4:00PM MTWF TBA TBA,1
30329,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201030&p_crn=30329,BIOE 391,NUMERICAL METHODS,"Grande-Allen, K. Jane", TBA TBA,3
30311,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201030&p_crn=30311,BIOE 400,ENGINEERING UG RESEARCH,, TBA TBA,1 TO 4
30312,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201030&p_crn=30312,BIOE 405,IND RESEARCH/INTERN PROGRAM,"West, Jennifer L.", TBA TBA,0
30266,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201030&p_crn=30266,BIOE 444,MECHANICAL TESTING LAB MODULE,"Ramos, Renata F.",9:00AM - 4:00PM MTWRF TBA TBA,1
30054,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201030&p_crn=30054,BIOE 500,GRADUATE RESEARCH,, TBA TBA,1 TO 15
30326,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201030&p_crn=30326,BIOS 201,INTRODUCTORY BIOLOGY,"McDowelle, Dana M.",9:00AM - 10:20AM MTWR BKH 114,3
30322,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201030&p_crn=30322,BIOS 320,LABORATORY IN TISSUE CULTURE,"Saterbak, Ann",9:00AM - 4:00PM MTWF TBA TBA,1
30364,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201030&p_crn=30364,BIOS 332,FUND OF SYSTEMS PHYSIOLOGY,"Jacot, Jeff",9:00AM - 12:00PM MW TBA TBA,3
30005,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201030&p_crn=30005,BIOS 777,VISITING RESEARCH TRAINEE,"Siemann, Evan H.", TBA TBA,0
30006,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201030&p_crn=30006,BIOS 777,VISITING RESEARCH TRAINEE,"Silberg, Joff", TBA TBA,0
30007,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201030&p_crn=30007,BIOS 800,BCB GRADUATE RESEARCH,, TBA TBA,1 TO 15
