CRN,URL,Course,Title,Instructors,Course Meeting,Credits
22742,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202320&p_crn=22742,AAAS 600,AF & AFAM STUDIES COLLOQUIUM,"Fleisher, Jeffrey B.", FULLY ONLINE,0
20330,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202320&p_crn=20330,AFSC 102,FOUNDATION OF THE USAF II,,"8:00AM - 8:59AM T TBA TBA
2:30PM - 4:20PM W TBA TBA",2
20331,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202320&p_crn=20331,AFSC 102,FOUNDATION OF THE USAF II,,"12:00PM - 12:50PM W TBA TBA
2:30PM - 4:20PM W TBA TBA",2
20332,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202320&p_crn=20332,AFSC 202,EVOLUTION OF AIR POWER II,,"9:00AM - 9:59AM T TBA TBA
2:30PM - 4:20PM W TBA TBA",2
20333,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202320&p_crn=20333,AFSC 202,EVOLUTION OF AIR POWER II,,"1:00PM - 1:50PM W TBA TBA
2:30PM - 4:20PM W TBA TBA",2
20337,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202320&p_crn=20337,AFSC 302,AIR FORCE LEADERSHIP STUDY II,,"8:00AM - 10:59AM W TBA TBA
2:30PM - 4:20PM W TBA TBA",3
20219,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202320&p_crn=20219,AFSC 402,NATIONAL SECURITY AFFAIRS II,,"10:00AM - 12:50PM W TBA TBA
2:30PM - 4:20PM W TBA TBA",3
23929,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202320&p_crn=23929,ANTH 200,INTRO TO STUDY OF LANGUAGE,"Crouch, Caroline Q.",10:00AM - 10:50AM MWF TBD TBA,3
24056,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202320&p_crn=24056,ANTH 302,ANTHROPOLOGICAL THEORY,"Kim, Dodom",12:00PM - 2:30PM M TBD TBA,3
24252,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202320&p_crn=24252,ANTH 304,"JERKS, BULLIES, & TOXIC PEOPLE","Gershon, Ilana",2:30PM - 3:45PM TR TBD TBA,3
24057,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202320&p_crn=24057,ANTH 312,THE ARCHAEOLOGY OF AFRICA,"Prendergast, Mary E.",2:00PM - 3:15PM MW TBD TBA,3
24059,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202320&p_crn=24059,ANTH 316,BLACK DECOLONIAL FEMINISMS,"Estrella, Amarilys",1:00PM - 3:30PM W TBD TBA,3
22861,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202320&p_crn=22861,ANTH 341,MUSEUMS AND HERITAGE,"McIntosh, Susan K.; Dib, Lina",1:00PM - 2:15PM TR TBD TBA,3
24226,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202320&p_crn=24226,ANTH 356,QUEER ANTHROPOLOGY,"Fietz, Helena",4:00PM - 6:30PM T TBD TBA,3
22863,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202320&p_crn=22863,ANTH 362,ARCHAEOLOGICAL FLD TECHNIQUES,"Morgan, Molly",12:00PM - 2:30PM F TBA TBA,3
22378,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202320&p_crn=22378,ANTH 381,MEDICAL ANTHROPOLOGY,"Massie, Victoria M.",10:50AM - 12:05PM TR TBD TBA,3
24061,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202320&p_crn=24061,ANTH 389,ARCHAEOLOGY OF FOOD,"Morgan, Molly",10:50AM - 12:05PM TR TBD TBA,3
23317,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202320&p_crn=23317,ANTH 398,ETHNOGRAPHIC RESEARCH,"Gunel, Gokce",4:00PM - 6:30PM M TBD TBA,3
23248,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202320&p_crn=23248,ANTH 404,INDEPENDENT STUDY,"Massie, Victoria M.", TBA TBA,1 TO 9
23249,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202320&p_crn=23249,ANTH 404,INDEPENDENT STUDY,"Georges, Eugenia", TBA TBA,1 TO 9
23247,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202320&p_crn=23247,ANTH 404,INDEPENDENT STUDY,"Estrella, Amarilys", TBA TBA,1 TO 9
24063,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202320&p_crn=24063,ANTH 404,INDEPENDENT STUDY,"McIntosh, Susan K.", TBA TBA,1 TO 9
