CRN,URL,Course,Title,Instructors,Course Meeting,Credits
30274,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202130&p_crn=30274,ANTH 800,RESEARCH AND THESIS,"Georges, Eugenia", TBA TBA,3 TO 9
30123,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202130&p_crn=30123,ANTH 800,RESEARCH AND THESIS,"Howe, Cymene", TBA TBA,3 TO 9
30693,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202130&p_crn=30693,ANTH 800,RESEARCH AND THESIS,"Visweswaran, Kamala", TBA TBA,3 TO 9
30275,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202130&p_crn=30275,ANTH 800,RESEARCH AND THESIS,"Boyer, Dominic C.", TBA TBA,3 TO 9
30695,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202130&p_crn=30695,ANTH 800,RESEARCH AND THESIS,"Fleisher, Jeffrey B.", TBA TBA,3 TO 9
31225,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202130&p_crn=31225,ANTH 800,RESEARCH AND THESIS,"Gunel, Gokce", TBA TBA,3 TO 9
30512,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202130&p_crn=30512,APPL 490,UNDERGRAD SUMMER RESEARCH-REU,"Pimpinelli, Alberto F.", TBA TBA,1 TO 6
30071,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202130&p_crn=30071,APPL 800,RESEARCH AND THESIS,"Tkaczyk, Tomasz", TBA TBA,1 TO 15
30072,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202130&p_crn=30072,APPL 800,RESEARCH AND THESIS,"Richards-Kortum, Rebecca R.", TBA TBA,1 TO 15
30073,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202130&p_crn=30073,APPL 800,RESEARCH AND THESIS,"Ma, Jianpeng", TBA TBA,1 TO 15
30074,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202130&p_crn=30074,APPL 800,RESEARCH AND THESIS,"Raphael, Rob", TBA TBA,1 TO 15
30075,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202130&p_crn=30075,APPL 800,RESEARCH AND THESIS,"Grande-Allen, K. Jane", TBA TBA,1 TO 15
30076,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202130&p_crn=30076,APPL 800,RESEARCH AND THESIS,"Levine, Herbert", TBA TBA,1 TO 15
30077,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202130&p_crn=30077,APPL 800,RESEARCH AND THESIS,"Pitkow, Xaq", TBA TBA,1 TO 15
30078,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202130&p_crn=30078,APPL 800,RESEARCH AND THESIS,"Wong, Michael S.", TBA TBA,1 TO 15
30079,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202130&p_crn=30079,APPL 800,RESEARCH AND THESIS,"Robinson, Jacob T.", TBA TBA,1 TO 15
30080,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202130&p_crn=30080,APPL 800,RESEARCH AND THESIS,"Halas, Naomi", TBA TBA,1 TO 15
30081,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202130&p_crn=30081,APPL 800,RESEARCH AND THESIS,"Kelly, Kevin F.", TBA TBA,1 TO 15
30082,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202130&p_crn=30082,APPL 800,RESEARCH AND THESIS,"Kono, Junichiro", TBA TBA,1 TO 15
30083,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202130&p_crn=30083,APPL 800,RESEARCH AND THESIS,"Han, Yimo", TBA TBA,1 TO 15
30084,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202130&p_crn=30084,APPL 800,RESEARCH AND THESIS,"Mohite, Aditya D.", TBA TBA,1 TO 15
30085,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202130&p_crn=30085,APPL 800,RESEARCH AND THESIS,"Igoshin, Oleg", TBA TBA,1 TO 15
30086,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202130&p_crn=30086,APPL 800,RESEARCH AND THESIS,"Gustavsson, Anna-Karin E.", TBA TBA,1 TO 15
30087,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=202130&p_crn=30087,APPL 800,RESEARCH AND THESIS,"Tour, James M.", TBA TBA,1 TO 15
