CRN,URL,Course,Title,Instructors,Course Meeting,Credits
10959,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201810&p_crn=10959,AFSC 101,FOUNDATION OF THE USAF I,,"1:00PM - 1:50PM W TBA TBA
2:00PM - 4:00PM W TBA TBA",2
15546,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201810&p_crn=15546,AFSC 101,FOUNDATION OF THE USAF I,,"9:00AM - 10:00AM T TBA TBA
2:00PM - 4:00PM W TBA TBA",2
10961,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201810&p_crn=10961,AFSC 201,EVOLUTION OF AIR POWER I,,"12:00PM - 12:50PM W TBA TBA
2:00PM - 4:00PM W TBA TBA",2
10962,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201810&p_crn=10962,AFSC 201,EVOLUTION OF AIR POWER I,,"8:00AM - 8:50AM T TBA TBA
2:00PM - 4:00PM W TBA TBA",2
10963,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201810&p_crn=10963,AFSC 301,AIR FORCE LEADERSHIP STUDY I,,"8:00AM - 11:00AM W TBA TBA
2:00PM - 4:00PM W TBA TBA",3
10964,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201810&p_crn=10964,AFSC 401,NATIONAL SECURITY AFFAIRS I,,"10:00AM - 1:00PM W TBA TBA
2:00PM - 4:00PM W TBA TBA",3
10231,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201810&p_crn=10231,ANTH 200,INTRO TO STUDY OF LANGUAGE,"Durian, David C.",10:00AM - 10:50AM MWF KCK 100,3
12666,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201810&p_crn=12666,ANTH 200,INTRO TO STUDY OF LANGUAGE,"Shibatani, Matt",10:50AM - 12:05PM TR HRG 125,3
11092,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201810&p_crn=11092,ANTH 203,INTRO TO PHYSICAL ANTHROPOLOGY,"McIntosh, Susan K.",10:50AM - 12:05PM TR SEW 305,3
14398,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201810&p_crn=14398,ANTH 205,INTRO TO ARCHAEOLOGY,"Fleisher, Jeffrey B.",9:25AM - 10:40AM TR DCC 113,3
10240,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201810&p_crn=10240,ANTH 300,LINGUISTIC ANALYSIS,"Wittke, Jonas B.",2:00PM - 2:50PM MWF KWG 100,3
16357,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201810&p_crn=16357,ANTH 302,ANTHROPOLOGICAL THEORY,"Ballestero, Andrea",2:30PM - 5:00PM T SEW 562,3
11737,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201810&p_crn=11737,ANTH 324,DOCUMENTARY PRODUCTION,"Stringer, Tish M.; Huberman, Brian M.",2:30PM - 5:29PM R MED 100,3
16358,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201810&p_crn=16358,ANTH 341,MUSEUMS AND HERITAGE,"McIntosh, Susan K.; Hopkins, John",2:30PM - 3:45PM TR RZR 304,3
16359,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201810&p_crn=16359,ANTH 349,THE ANTHROPOLOGY OF ETHICS,"Faubion, Jim",1:00PM - 2:15PM TR SEW 305,3
17050,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201810&p_crn=17050,ANTH 381,MEDICAL ANTHROPOLOGY,"Mitchell, Beverly M.",1:00PM - 2:15PM TR SEW 562,3
16730,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201810&p_crn=16730,ANTH 389,ARCHAEOLOGY OF FOOD,"Morgan, Molly",1:00PM - 1:50PM MWF SEW 562,3
16361,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201810&p_crn=16361,ANTH 404,INDEPENDENT STUDY,"Faubion, Jim", TBA TBA,1 TO 9
10235,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201810&p_crn=10235,ANTH 404,INDEPENDENT STUDY,"Georges, Eugenia", TBA TBA,1 TO 9
16362,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201810&p_crn=16362,ANTH 404,INDEPENDENT STUDY,"Howe, Cymene", TBA TBA,1 TO 9
15157,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201810&p_crn=15157,ANTH 404,INDEPENDENT STUDY,"Ballestero, Andrea", TBA TBA,1 TO 9
13020,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201810&p_crn=13020,ANTH 404,INDEPENDENT STUDY,"McIntosh, Susan K.", TBA TBA,1 TO 9
13858,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201810&p_crn=13858,ANTH 404,INDEPENDENT STUDY,"Wool, Zoe H.", TBA TBA,1 TO 9
10899,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201810&p_crn=10899,ANTH 404,INDEPENDENT STUDY,"Boyer, Dominic C.", TBA TBA,1 TO 9
10598,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201810&p_crn=10598,ANTH 404,INDEPENDENT STUDY,"Fleisher, Jeffrey B.", TBA TBA,1 TO 9
16704,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201810&p_crn=16704,ANTH 425,"INTRO TO ZOOARCHAEOLOGY ""IS""","Quintana Morales, Erendira M.",1:00PM - 2:15PM TR SEW 103,3
16365,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201810&p_crn=16365,ANTH 490,DIRECTED HONORS RESEARCH,"Faubion, Jim", TBA TBA,1 TO 3
10236,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201810&p_crn=10236,ANTH 490,DIRECTED HONORS RESEARCH,"Georges, Eugenia", TBA TBA,1 TO 3
16366,/courses/!SWKSCAT.cat?p_action=COURSE&p_term=201810&p_crn=16366,ANTH 490,DIRECTED HONORS RESEARCH,"Howe, Cymene", TBA TBA,1 TO 3
