Course,URL,Title,Distribution Group,Analyzing Diversity,Credits
ANTH 316,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=316&p_subj=ANTH,CULTURAL ANALYSIS,Distribution Group II,,3
ANTH 319,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=319&p_subj=ANTH,SYMBOLISM AND POWER,Distribution Group II,,3
ANTH 322,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=322&p_subj=ANTH,CULTURES AND IDENTITIES,Distribution Group II,,3
ANTH 323,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=323&p_subj=ANTH,INTRODUCTION TO PHONOLOGY,,,3
ANTH 325,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=325&p_subj=ANTH,SOCIETY IN ANCIENT GREECE,Distribution Group II,,3
ANTH 326,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=326&p_subj=ANTH,THE ANTHROPOLOGY OF LAW,Distribution Group II,,3
ANTH 327,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=327&p_subj=ANTH,GENDER AND SYMBOLISM,Distribution Group II,,3
ANTH 329,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=329&p_subj=ANTH,"BODIES, SENSUALITIES, & ART",Distribution Group II,,3
ANTH 331,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=331&p_subj=ANTH,ANCIENT NEAR EAST,,,3
ANTH 332,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=332&p_subj=ANTH,SOCIAL LIFE OF CLEAN ENERGY,,,3
ANTH 333,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=333&p_subj=ANTH,THE MATERIAL WORLD,,,3
ANTH 335,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=335&p_subj=ANTH,ANTHROPOLOGY/CULTURAL CRITIQUE,Distribution Group II,,3
ANTH 336,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=336&p_subj=ANTH,BECOMING A DOCTOR,,,3
ANTH 338,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=338&p_subj=ANTH,READING POPULAR CULTURE,Distribution Group II,,3
ANTH 340,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=340&p_subj=ANTH,NEOLIBERALISM & GLOBALIZATION,,,3
ANTH 343,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=343&p_subj=ANTH,NEW RELIG MOVEMENTS IN AFRICA,Distribution Group II,,3
ANTH 344,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=344&p_subj=ANTH,CITY/CULTURE,Distribution Group II,,3
ANTH 345,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=345&p_subj=ANTH,ARCHAEOLOGY IN SOCIAL CONTEXT,Distribution Group II,,3
ANTH 347,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=347&p_subj=ANTH,THE U.S. AS A FOREIGN COUNTRY,Distribution Group II,,3
ANTH 349,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=349&p_subj=ANTH,THE ANTHROPOLOGY OF ETHICS,,,3
ANTH 351,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=351&p_subj=ANTH,CULTURES OF NATIONALISM,Distribution Group II,,3
ANTH 353,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=353&p_subj=ANTH,CULTURES OF INDIA,Distribution Group II,,3
ANTH 355,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=355&p_subj=ANTH,LANDSCAPE ARCHAEOLOGY,,,3
ANTH 358,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=358&p_subj=ANTH,FOURTH WORLD:INDIGENOUS PEOPLE,Distribution Group II,,3
ANTH 361,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=361&p_subj=ANTH,LATIN AMERICAN TOPICS,,,3
ANTH 362,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=362&p_subj=ANTH,ARCHAEOLOGICAL FLD TECHNIQUES,Distribution Group II,,3
ANTH 363,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=363&p_subj=ANTH,EARLY CIVILIZATIONS,Distribution Group II,,3
ANTH 364,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=364&p_subj=ANTH,AFRICAN ARCHAEOLOGY,,,3
ANTH 366,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=366&p_subj=ANTH,"SCIENCE, LOCAL AND GLOBAL",Distribution Group II,,3
ANTH 370,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=370&p_subj=ANTH,ARCHAEOLOGICAL LABORATORY,,,3 TO 6
ANTH 371,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=371&p_subj=ANTH,MONEY AND EVERYDAY LIFE,Distribution Group II,,3
ANTH 372,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=372&p_subj=ANTH,CULTURES OF CAPITALISM,Distribution Group II,,3
ANTH 381,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=381&p_subj=ANTH,MEDICAL ANTHROPOLOGY,Distribution Group II,,3
ANTH 382,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=382&p_subj=ANTH,"BODY, TECHNOLOGY, ENHANCEMENT",,,3
ANTH 385,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=385&p_subj=ANTH,"MEDIA, CULTURE, AND SOCIETY",,,3
ANTH 386,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=386&p_subj=ANTH,"MEDICINE, FOOD, AND HEALTH",Distribution Group II,,3
ANTH 387,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=387&p_subj=ANTH,ASIAN AMERICAN COMMUNITIES,,,3
ANTH 388,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=388&p_subj=ANTH,LIFE CYCLE: A BIOCULTURAL VIEW,Distribution Group II,,3
ANTH 390,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=390&p_subj=ANTH,"CULTURE,NARRATION,SUBJECTIVITY",Distribution Group II,,3
ANTH 395,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=395&p_subj=ANTH,CULTURES AND COMMUNICATION,Distribution Group II,,3
ANTH 398,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=398&p_subj=ANTH,ETHNOGRAPHIC RESEARCH,,,3
ANTH 403,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=403&p_subj=ANTH,ANALYZING PRACTICE,,,3
ANTH 404,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=404&p_subj=ANTH,INDEPENDENT STUDY,,,1 TO 9
ANTH 406,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=406&p_subj=ANTH,COGNITIVE STUDIES,Distribution Group II,,3
ANTH 407,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=407&p_subj=ANTH,LINGUISTIC FIELD METHODS,,,5
ANTH 408,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=408&p_subj=ANTH,LINGUISTIC FIELD METHODS,,,5
ANTH 410,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=410&p_subj=ANTH,THE ETHNOGRAPHY OF DEVELOPMENT,Distribution Group II,,3
ANTH 411,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=411&p_subj=ANTH,NEUROLINGUISTICS,Distribution Group II,,3
ANTH 412,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=412&p_subj=ANTH,RHETORIC,Distribution Group II,,3
ANTH 413,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=413&p_subj=ANTH,CULTURE AFTER COMMUNISM,,,3
ANTH 414,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=414&p_subj=ANTH,HERMENEUTICS &LINGUISTIC ANTH,Distribution Group II,,3
ANTH 421,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=421&p_subj=ANTH,AUSTRALIAN LANGUAGES,,,3
ANTH 423,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=423&p_subj=ANTH,AFRICAN MYTHS AND RITUALS,Distribution Group I,,3
ANTH 425,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=425&p_subj=ANTH,ADVANCED TOPICS IN ARCHAEOLOGY,,,3
ANTH 429,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=429&p_subj=ANTH,ACTIVISM AND SOCIAL MOVEMENTS,,,3
ANTH 442,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=442&p_subj=ANTH,MUSEUMS: THEORY & PRACTICE,,,3
ANTH 444,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=444&p_subj=ANTH,CULTURE AND MENTAL ILLNESS,,,3
ANTH 445,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=445&p_subj=ANTH,EXPERTS/EXPERTISE,,,3
ANTH 446,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=446&p_subj=ANTH,ADV BIOMEDICAL ANTHROPOLOGY,,,3
ANTH 447,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=447&p_subj=ANTH,MODERN ETHNOGRAPHY,Distribution Group II,,3
ANTH 448,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=448&p_subj=ANTH,PHENOMENOLOGICAL ANTHROPOLOGY,,,3
ANTH 449,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=449&p_subj=ANTH,CULTURES OF SEXUALITY,,,3
ANTH 454,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=454&p_subj=ANTH,THE ETHNOGRAPHER AS ARTIST,,,3
ANTH 456,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2012&p_crse_numb=456&p_subj=ANTH,HERITAGE MANAGEMENT,,,3
