Course,URL,Title,Distribution Group,Analyzing Diversity,Credits
AAAS 200,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=200&p_subj=AAAS,INTRO TO AAAS,Distribution Group I,,3
AAAS 300,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=300&p_subj=AAAS,WRITING BLACK LIVES,Distribution Group I,,3
AAAS 510,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=510&p_subj=AAAS,INTRO TO DIASPORIC STUDIES,,,3
AAAS 600,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=600&p_subj=AAAS,AF & AFAM STUDIES COLLOQUIUM,,,0
AFSC 101,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=101&p_subj=AFSC,FOUNDATION OF THE USAF I,,,2
AFSC 102,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=102&p_subj=AFSC,FOUNDATION OF THE USAF II,,,2
AFSC 201,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=201&p_subj=AFSC,EVOLUTION OF AIR POWER I,,,2
AFSC 202,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=202&p_subj=AFSC,EVOLUTION OF AIR POWER II,,,2
AFSC 238,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=238&p_subj=AFSC,SPECIAL TOPICS,,,1 TO 4
AFSC 301,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=301&p_subj=AFSC,AIR FORCE LEADERSHIP STUDY I,,,3
AFSC 302,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=302&p_subj=AFSC,AIR FORCE LEADERSHIP STUDY II,,,3
AFSC 381,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=381&p_subj=AFSC,FIELD TRAINING,,,8
AFSC 401,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=401&p_subj=AFSC,NATIONAL SECURITY AFFAIRS I,,,3
AFSC 402,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=402&p_subj=AFSC,NATIONAL SECURITY AFFAIRS II,,,3
AFSC 477,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=477&p_subj=AFSC,SPECIAL TOPICS,,,1 TO 4
AMCI 238,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=238&p_subj=AMCI,SPECIAL TOPICS,,,1 TO 4
AMCI 400,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=400&p_subj=AMCI,AMC HONORS THESIS,,,3
AMCI 477,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=477&p_subj=AMCI,SPECIAL TOPICS,,,1 TO 4
ANTH 007,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=007&p_subj=ANTH,VISITING RESEARCH,,,0
ANTH 200,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=200&p_subj=ANTH,INTRO TO STUDY OF LANGUAGE,Distribution Group II,,3
ANTH 201,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=201&p_subj=ANTH,INTRO TO SOCIAL/CULTURAL ANTH,Distribution Group II,,3
ANTH 203,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=203&p_subj=ANTH,INTRO BIOLOGICAL ANTHROPOLOGY,Distribution Group II,,3
ANTH 205,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=205&p_subj=ANTH,INTRO TO ARCHAEOLOGY,Distribution Group II,,3
ANTH 212,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=212&p_subj=ANTH,PERSPECTIVES ON MODERN ASIA,Distribution Group II,,3
ANTH 238,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=238&p_subj=ANTH,SPECIAL TOPICS,,,1 TO 4
ANTH 290,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=290&p_subj=ANTH,HISTORY & ETHNOGRAPHY,,,3
ANTH 299,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=299&p_subj=ANTH,EXPERIENTIAL EDUCATION IN ANTH,,,1
ANTH 302,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=302&p_subj=ANTH,ANTHROPOLOGICAL THEORY,Distribution Group II,,3
ANTH 303,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=303&p_subj=ANTH,INTRO ARCHAEOLOGY SCIENCE,Distribution Group II,,3
ANTH 308,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=308&p_subj=ANTH,THE HISTORICAL IMAGINATION,Distribution Group II,,3
ANTH 309,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=309&p_subj=ANTH,GLOBAL CULTURES,,,3
ANTH 310,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2022&p_crse_numb=310&p_subj=ANTH,CONTEMPORARY CHINESE CULTURE,,,3
