Course,URL,Title,Distribution Group,Analyzing Diversity,Credits
COMP 409,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=409&p_subj=COMP,LOGIC IN COMPUTER SCIENCE,,,3
COMP 410,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=410&p_subj=COMP,SOFTWARE ENGINEER METHODOLOGY,,,4
COMP 411,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=411&p_subj=COMP,ADVANCED PROGRAMMING LANGUAGES,,,4
COMP 412,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=412&p_subj=COMP,COMPILER CONSTRUCTION,,,4
COMP 413,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=413&p_subj=COMP,DISTRIB PROGRAM CONSTRUCTION,,,4
COMP 415,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=415&p_subj=COMP,REAL-WORLD SOFTWARE DEVELOPMNT,,,4
COMP 420,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=420&p_subj=COMP,INTRO TO DISTRIBUTED COMP SYS,,,4
COMP 421,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=421&p_subj=COMP,OPERAT SYSTMS&CONCUR PROGRAMM,,,4
COMP 422,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=422&p_subj=COMP,PARALLEL COMPUTING,,,4
COMP 425,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=425&p_subj=COMP,COMPUTER SYSTEMS ARCHITECTURE,,,4
COMP 429,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=429&p_subj=COMP,INTRO TO COMPUTER NETWORKS,,,4
COMP 430,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=430&p_subj=COMP,INTRO TO DATABASE SYSTEMS,,,4
COMP 440,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=440&p_subj=COMP,ARTIFICIAL INTELLIGENCE,,,4
COMP 446,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=446&p_subj=COMP,MOBILE WIRELESS SERVICE PROJEC,,,3
COMP 450,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=450&p_subj=COMP,ALGORITHMIC ROBOTICS,,,4
COMP 460,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=460&p_subj=COMP,ADVANCED COMPUTER GRAPHICS,,,4
COMP 470,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=470&p_subj=COMP,FROM SEQUENCE TO STRUCTURE,,,4
COMP 481,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=481&p_subj=COMP,"AUTOMATA, FORMAL LAN&COMPUTABL",,,3
COMP 482,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=482&p_subj=COMP,DESIGN&ANALYSIS OF ALGORITHMS,,,3
COMP 485,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=485&p_subj=COMP,FUND MEDICAL IMAGING I,,,3
COMP 486,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=486&p_subj=COMP,FUND MEDICAL IMAGING II,,,3
COMP 490,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=490&p_subj=COMP,COMP SCIENCE PROJECTS,,,1 TO 4
COMP 491,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=491&p_subj=COMP,COMPUTER SCIENCE TEACHING,,,3
COMP 492,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=492&p_subj=COMP,COMPUTER SCI HONORS PROJECT,,,1 TO 6
COMP 498,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=498&p_subj=COMP,INTRODUCTION TO ROBOTICS,,,3
COMP 502,/courses/!SWKSCAT.cat?p_action=CATALIST&p_acyr_code=2006&p_crse_numb=502&p_subj=COMP,NEURAL NETWORKS &INFO THEORY I,,,3
